display_name,lineage,subtype,cluster
NUGC4,gastric,adenocarcinoma,0
SNUC5,colorectal,adenocarcinoma,0
SNU869,bile_duct,"cholangiocarcinoma, extrahepatic",32
PATU8988S,pancreas,"ductal adenocarcinoma, exocrine",0
HCC1806,breast,basal A,30
SW837,colorectal,adenocarcinoma,0
AGS,gastric,adenocarcinoma,0
OE19,esophagus,squamous cell carcinoma,0
SNU1196,bile_duct,"cholangiocarcinoma, extrahepatic",0
SNU601,gastric,"adenocarcinoma, signet ring cell",0
SW1417,colorectal,adenocarcinoma,0
HUG1N,gastric,"adenocarcinoma, tubular",0
CL11,colorectal,adenocarcinoma,0
COLO201,colorectal,adenocarcinoma,0
HPAC,pancreas,"ductal adenocarcinoma, exocrine",0
SNU1033,colorectal,adenocarcinoma,0
SNU620,gastric,adenocarcinoma,0
COLO678,colorectal,adenocarcinoma,0
CAPAN1,pancreas,"ductal adenocarcinoma, exocrine",0
NCIN87,gastric,"adenocarcinoma, tubular",0
KE39,gastric,adenocarcinoma,0
KATOIII,gastric,"adenocarcinoma, signet ring cell",0
NCIH1435,lung,"non-small cell lung cancer, adenocarcinoma",0
SNU719,gastric,"adenocarcinoma, tubular",0
TGBC11TKB,gastric,adenocarcinoma,0
SW626,colorectal,NA,0
KMCH1,bile_duct,cholangiocarcinoma,0
TKKK,bile_duct,"cholangiocarcinoma, intrahepatic",0
HSKTC,ovary,krukenberg tumor,0
MHHCALL2,blood,"acute lymphoblastic leukemia, b-cell",1
MHHCALL3,blood,"acute lymphoblastic leukemia, b-cell",1
SUPB15,blood,"acute lymphoblastic leukemia, b-cell",1
697,blood,"acute lymphoblastic leukemia, b-cell",1
OCILY19,lymphocyte,diffuse large b-cell lymphoma,1
NALM19,blood,"acute lymphoblastic leukemia, b-cell",1
MHHCALL4,blood,"acute lymphoblastic leukemia, b-cell",1
BV173,blood,"chronic myelogenous leukemia, blast crisis",1
NALM1,blood,"chronic myelogenous leukemia, blast crisis",1
MUTZ5,blood,"acute lymphoblastic leukemia, b-cell",1
KASUMI2,blood,"acute lymphoblastic leukemia, b-cell",1
SEM,blood,"acute lymphoblastic leukemia, b-cell",1
RS411,blood,"acute lymphoblastic leukemia, b-cell",1
