filename,basename,sample,condition,rep_old,rep_new,sample_new,total_reads,total_aligned_reads,bc_not_found,perc_bc_not_found,chimera_reads,perc_chimera_reads,unspliced_counter,minor_splice_counter,perfect_middle_exon,everything_passed_with_middle_exon
U:/processed_data/reprocess_250221/K562/K562_K700E-H04_S262_umi_dedup_fine_grained_idx.csv,K562_K700E-H04_S262_umi_dedup_fine_grained_idx.csv,K562_K700E-H04_S262,K562K700E,rep1,rep1,K562K700E-rep1,41505772,38942448,1372050,0.0330568480933206,4796792,0.173841153685578,991311,2133110,21823074,22796168
U:/processed_data/reprocess_250221/K562/K562_K700E-H05_S263_umi_dedup_fine_grained_idx.csv,K562_K700E-H05_S263_umi_dedup_fine_grained_idx.csv,K562_K700E-H05_S263,K562K700E,rep2,rep2,K562K700E-rep2,42735524,40181661,1424120,0.0333240327180731,4882770,0.171866104682968,1081675,2126914,22515348,23527544
U:/processed_data/reprocess_250221/K562/K562_K700E-H06_S264_umi_dedup_fine_grained_idx.csv,K562_K700E-H06_S264_umi_dedup_fine_grained_idx.csv,K562_K700E-H06_S264,K562K700E,rep3,rep3,K562K700E-rep3,36274891,34056439,1205193,0.0332238903212693,4119836,0.168458779603311,783987,1751516,19487690,20336212
U:/processed_data/reprocess_250221/K562/K562_WT-H01_S259_umi_dedup_fine_grained_idx.csv,K562_WT-H01_S259_umi_dedup_fine_grained_idx.csv,K562_WT-H01_S259,K562WT,rep1,rep1,K562WT-rep1,73478733,69240298,2394265,0.0325844622280028,8923925,0.167558570558664,937840,3747362,42687228,44334616
U:/processed_data/reprocess_250221/K562/K562_WT-H02_S260_umi_dedup_fine_grained_idx.csv,K562_WT-H02_S260_umi_dedup_fine_grained_idx.csv,K562_WT-H02_S260,K562WT,rep2,rep2,K562WT-rep2,92707992,87286144,3114571,0.0335954962760924,10631253,0.165063173006325,1197988,4206468,51716963,53775924
U:/processed_data/reprocess_250221/K562/K562_WT-H03_S261_umi_dedup_fine_grained_idx.csv,K562_WT-H03_S261_umi_dedup_fine_grained_idx.csv,K562_WT-H03_S261,K562WT,rep3,rep3,K562WT-rep3,53634921,50372548,1792567,0.0334216396067778,6208418,0.165054827452884,623672,2346936,30223488,31405859
U:/processed_data/reprocess_250221/nova230516/769P-rep1_umi_dedup_fine_grained_idx.csv,769P-rep1_umi_dedup_fine_grained_idx.csv,769P-rep1,769P,rep1,rep1,769P-rep1,43846612,41270936,1448518,0.0330360302410594,5350590,0.187345391443917,1046097,1894774,22145178,23209440
U:/processed_data/reprocess_250221/nova230516/769P-rep2_umi_dedup_fine_grained_idx.csv,769P-rep2_umi_dedup_fine_grained_idx.csv,769P-rep2,769P,rep2,rep2,769P-rep2,49465181,46412679,1631880,0.0329904786965199,6211057,0.194523196576523,1154563,2116599,24535215,25718590
U:/processed_data/reprocess_250221/nova230516/769P-rep3_umi_dedup_fine_grained_idx.csv,769P-rep3_umi_dedup_fine_grained_idx.csv,769P-rep3,769P,rep3,rep3,769P-rep3,45547717,42882710,1524717,0.0334751574925259,5725903,0.193598509178317,1096513,2016937,22757525,23850270
U:/processed_data/reprocess_250221/nova230516/786O-rep1_umi_dedup_fine_grained_idx.csv,786O-rep1_umi_dedup_fine_grained_idx.csv,786O-rep1,786O,rep1,rep1,786O-rep1,31847145,30052689,1064593,0.0334282083998424,3489223,0.168586598255837,1800168,2037668,16386391,17207695
U:/processed_data/reprocess_250221/nova230516/786O-rep2_umi_dedup_fine_grained_idx.csv,786O-rep2_umi_dedup_fine_grained_idx.csv,786O-rep2,786O,rep2,rep2,786O-rep2,35909859,33766051,1186934,0.0330531512251273,4026799,0.167984922569352,1915942,2268484,19005886,19944394
U:/processed_data/reprocess_250221/nova230516/786O-rep3_umi_dedup_fine_grained_idx.csv,786O-rep3_umi_dedup_fine_grained_idx.csv,786O-rep3,786O,rep3,rep3,786O-rep3,35647124,33600420,1183460,0.033199312236241,3922231,0.168089277319959,1722468,2185339,18480322,19411982
U:/processed_data/reprocess_250221/nova230516/8MGBA_Nuc-rep1_umi_dedup_fine_grained_idx.csv,8MGBA_Nuc-rep1_umi_dedup_fine_grained_idx.csv,8MGBA_Nuc-rep1,8MGBA,rep1,rep1,8MGBA-rep1,46606181,43769289,1505921,0.032311615491516,5210445,0.165590052478983,1108079,2173531,25288683,26255485
U:/processed_data/reprocess_250221/nova230516/8MGBA_Nuc-rep2_umi_dedup_fine_grained_idx.csv,8MGBA_Nuc-rep2_umi_dedup_fine_grained_idx.csv,8MGBA_Nuc-rep2,8MGBA,rep2,rep2,8MGBA-rep2,36250208,33921631,1185797,0.0327114536832451,4114442,0.166751337038728,796717,1734102,19794016,20559675
U:/processed_data/reprocess_250221/nova230516/8MGBA_Nuc-rep3_umi_dedup_fine_grained_idx.csv,8MGBA_Nuc-rep3_umi_dedup_fine_grained_idx.csv,8MGBA_Nuc-rep3,8MGBA,rep3,rep3,8MGBA-rep3,38196251,36048449,1250913,0.0327496277056091,4311302,0.165710881787655,941275,1845300,20899253,21705710
U:/processed_data/reprocess_250221/nova230516/8MGBA_tfx-rep1_umi_dedup_fine_grained_idx.csv,8MGBA_tfx-rep1_umi_dedup_fine_grained_idx.csv,8MGBA_tfx-rep1,8MGBA,rep1,rep1,8MGBA-rep1,22559637,21252614,741308,0.0328599258933111,2362347,0.170836887392578,1540310,1058835,10918057,11465738
U:/processed_data/reprocess_250221/nova230516/8MGBA_tfx-rep2_umi_dedup_fine_grained_idx.csv,8MGBA_tfx-rep2_umi_dedup_fine_grained_idx.csv,8MGBA_tfx-rep2,8MGBA,rep2,rep2,8MGBA-rep2,23349099,22013058,768154,0.032898657031691,2444200,0.171311702912061,1537752,1093247,11257867,11823360
U:/processed_data/reprocess_250221/nova230516/8MGBA_tfx-rep3_umi_dedup_fine_grained_idx.csv,8MGBA_tfx-rep3_umi_dedup_fine_grained_idx.csv,8MGBA_tfx-rep3,8MGBA,rep3,rep3,8MGBA-rep3,35773177,33718468,1171936,0.032760187891615,3715697,0.170856588730059,2557413,1703468,17178699,18031764
U:/processed_data/reprocess_250221/nova230516/A172-rep1_umi_dedup_fine_grained_idx.csv,A172-rep1_umi_dedup_fine_grained_idx.csv,A172-rep1,A172,rep1,rep1,A172-rep1,40874632,38451705,1363602,0.0333605939253471,3817551,0.170710403362165,1196286,2142584,17321968,18545181
U:/processed_data/reprocess_250221/nova230516/A172-rep2_umi_dedup_fine_grained_idx.csv,A172-rep2_umi_dedup_fine_grained_idx.csv,A172-rep2,A172,rep2,rep2,A172-rep2,23229526,21835258,787694,0.0339091723180232,2251944,0.175656000213413,711025,1258506,9903443,10568250
U:/processed_data/reprocess_250221/nova230516/A172-rep3_umi_dedup_fine_grained_idx.csv,A172-rep3_umi_dedup_fine_grained_idx.csv,A172-rep3,A172,rep3,rep3,A172-rep3,32712370,30799254,1108761,0.0338942424532371,3052934,0.172387275454791,1003048,1666347,13726764,14656807
U:/processed_data/reprocess_250221/nova230516/A375_100tfx-rep1_umi_dedup_fine_grained_idx.csv,A375_100tfx-rep1_umi_dedup_fine_grained_idx.csv,A375_100tfx-rep1,A375,rep1,rep1,A375-rep1,6549765,6174054,216733,0.0330901948390515,660845,0.183007797517655,270118,214192,2798020,2950176
U:/processed_data/reprocess_250221/nova230516/A375_100tfx-rep2_umi_dedup_fine_grained_idx.csv,A375_100tfx-rep2_umi_dedup_fine_grained_idx.csv,A375_100tfx-rep2,A375,rep2,rep2,A375-rep2,11269038,10595250,372598,0.03306386933827,1130536,0.183145422879116,424126,344395,4779599,5042351
U:/processed_data/reprocess_250221/nova230516/A375_100tfx-rep3_umi_dedup_fine_grained_idx.csv,A375_100tfx-rep3_umi_dedup_fine_grained_idx.csv,A375_100tfx-rep3,A375,rep3,rep3,A375-rep3,18567585,17426065,614071,0.0330722062131397,1831889,0.182896886830486,662557,529133,7756801,8184077
U:/processed_data/reprocess_250221/nova230516/A375_150tfx-rep1_umi_dedup_fine_grained_idx.csv,A375_150tfx-rep1_umi_dedup_fine_grained_idx.csv,A375_150tfx-rep1,A375,rep1,rep1,A375-rep1,9361742,8822430,307785,0.0328768940652285,992349,0.189143944338046,371922,303886,4036837,4254179
U:/processed_data/reprocess_250221/nova230516/A375_150tfx-rep2_umi_dedup_fine_grained_idx.csv,A375_150tfx-rep2_umi_dedup_fine_grained_idx.csv,A375_150tfx-rep2,A375,rep2,rep2,A375-rep2,12293472,11606260,404238,0.032882329743786,1268262,0.184528153644697,465945,380555,5317779,5604738
U:/processed_data/reprocess_250221/nova230516/A375_150tfx-rep3_umi_dedup_fine_grained_idx.csv,A375_150tfx-rep3_umi_dedup_fine_grained_idx.csv,A375_150tfx-rep3,A375,rep3,rep3,A375-rep3,14922270,14020983,491326,0.0329256875797047,1519428,0.184312364033622,527934,459518,6377799,6724338
U:/processed_data/reprocess_250221/nova230516/ACHN-rep1_umi_dedup_fine_grained_idx.csv,ACHN-rep1_umi_dedup_fine_grained_idx.csv,ACHN-rep1,ACHN,rep1,rep1,ACHN-rep1,15920573,15033911,514419,0.0323115882826579,1848959,0.16814257715451,581114,967338,8727032,9147417
U:/processed_data/reprocess_250221/nova230516/ACHN-rep2_umi_dedup_fine_grained_idx.csv,ACHN-rep2_umi_dedup_fine_grained_idx.csv,ACHN-rep2,ACHN,rep2,rep2,ACHN-rep2,12442937,11738369,402687,0.0323626970063418,1443417,0.168407502621054,430322,755166,6796564,7127561
