filename,basename,sample,condition,rep_old,rep_new,sample_new,total_reads,total_aligned_reads,total_umi_count,duplication_rate,bc_not_found,perc_bc_not_found,skipped_reads,chimera_reads,perc_chimera_reads,unspliced_counter,minor_splice_counter,perfect_middle_exon,everything_passed_with_middle_exon
/mnt/dawnccle2/processed_data/reprocess_250221/251113_A549//A549_U2AF1_S34F_33_47k-rep1_S5_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34F_33_47k-rep1_S5_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34F_33_47k-rep1_S5,A549_U2AF1_S34F_33_47k,rep1,rep1,A549_U2AF1_S34F_33_47k-rep1,15200071,13305046,1472953,0.110706344044207,501790,0.0330123457975953,4877414,1576395,0.204193651427741,366447,341087,5819094,6143703
/mnt/dawnccle2/processed_data/reprocess_250221/251113_A549//A549_U2AF1_S34F_33_47k-rep2_S6_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34F_33_47k-rep2_S6_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34F_33_47k-rep2_S6,A549_U2AF1_S34F_33_47k,rep2,rep2,A549_U2AF1_S34F_33_47k-rep2,16397611,14366102,1630507,0.113496827462314,544723,0.0332196562047972,5350621,1674378,0.203016601529701,414758,353230,6227739,6573115
/mnt/dawnccle2/processed_data/reprocess_250221/251113_A549//A549_U2AF1_S34F_34_47k-rep1_S7_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34F_34_47k-rep1_S7_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34F_34_47k-rep1_S7,A549_U2AF1_S34F_34_47k,rep1,rep1,A549_U2AF1_S34F_34_47k-rep1,15046278,13134354,1742118,0.132638270599376,491235,0.0326482735464545,4725344,1578637,0.206612140279366,414389,354039,5735161,6061945
/mnt/dawnccle2/processed_data/reprocess_250221/251113_A549//A549_U2AF1_S34F_34_47k-rep2_S8_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34F_34_47k-rep2_S8_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34F_34_47k-rep2_S8,A549_U2AF1_S34F_34_47k,rep2,rep2,A549_U2AF1_S34F_34_47k-rep2,14648928,12778727,1987718,0.155548983869833,479479,0.0327313370643913,4445550,1556094,0.207841786925351,466256,380005,5610978,5930822
/mnt/dawnccle2/processed_data/reprocess_250221/251113_A549//A549_U2AF1_S34S_16_47k-rep1_S1_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34S_16_47k-rep1_S1_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34S_16_47k-rep1_S1,A549_U2AF1_S34S_16_47k,rep1,rep1,A549_U2AF1_S34S_16_47k-rep1,25788727,22055231,3641978,0.165129895941693,819840,0.0317906347219077,6673282,2989810,0.212388642495303,879433,425445,10553359,11087261
/mnt/dawnccle2/processed_data/reprocess_250221/251113_A549//A549_U2AF1_S34S_16_47k-rep2_S2_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34S_16_47k-rep2_S2_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34S_16_47k-rep2_S2,A549_U2AF1_S34S_16_47k,rep2,rep2,A549_U2AF1_S34S_16_47k-rep2,15930580,13883194,3493488,0.251634314121088,510309,0.0320332969672165,4248540,1876382,0.2113490481486,500338,256197,6660983,7001737
/mnt/dawnccle2/processed_data/reprocess_250221/251113_A549//A549_U2AF1_S34S_19_47k-rep1_S3_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34S_19_47k-rep1_S3_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34S_19_47k-rep1_S3,A549_U2AF1_S34S_19_47k,rep1,rep1,A549_U2AF1_S34S_19_47k-rep1,16855195,14703182,2591537,0.176256880993516,535956,0.0317976742482066,4447725,2043415,0.216423424226833,520533,293178,7034771,7398331
/mnt/dawnccle2/processed_data/reprocess_250221/251113_A549//A549_U2AF1_S34S_19_47k-rep2_S4_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34S_19_47k-rep2_S4_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34S_19_47k-rep2_S4,A549_U2AF1_S34S_19_47k,rep2,rep2,A549_U2AF1_S34S_19_47k-rep2,17510972,15217624,2895380,0.190264919149008,556338,0.0317708234585721,4590996,2110934,0.214778592569161,501778,296431,7338911,7717485
/mnt/dawnccle2/processed_data/reprocess_250221/251113_A549//A549_U2AF1_S34Y_13_47k-rep1_S9_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34Y_13_47k-rep1_S9_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34Y_13_47k-rep1_S9,A549_U2AF1_S34Y_13_47k,rep1,rep1,A549_U2AF1_S34Y_13_47k-rep1,15870681,13922773,3862998,0.277458951603966,514564,0.032422301223243,5017141,1761008,0.211660811064678,328420,257259,6230903,6558945
/mnt/dawnccle2/processed_data/reprocess_250221/251113_A549//A549_U2AF1_S34Y_13_47k-rep2_S10_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34Y_13_47k-rep2_S10_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34Y_13_47k-rep2_S10,A549_U2AF1_S34Y_13_47k,rep2,rep2,A549_U2AF1_S34Y_13_47k-rep2,17791426,15665241,4241510,0.270759319949179,575561,0.0323504703895011,5842103,1948957,0.211358016604713,332700,269321,6908430,7272160
/mnt/dawnccle2/processed_data/reprocess_250221/251113_A549//A549_U2AF1_S34Y_17_47k-rep1_S11_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34Y_17_47k-rep1_S11_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34Y_17_47k-rep1_S11,A549_U2AF1_S34Y_17_47k,rep1,rep1,A549_U2AF1_S34Y_17_47k-rep1,17250917,14993794,889795,0.0593442193483517,567509,0.0328973236611132,4064043,2121431,0.215053592307572,463110,601979,7299364,7743231
/mnt/dawnccle2/processed_data/reprocess_250221/251113_A549//A549_U2AF1_S34Y_17_47k-rep2_S12_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34Y_17_47k-rep2_S12_umi_dedup_fine_grained_idx.csv,A549_U2AF1_S34Y_17_47k-rep2_S12,A549_U2AF1_S34Y_17_47k,rep2,rep2,A549_U2AF1_S34Y_17_47k-rep2,18775356,16187954,1005561,0.0621178562775753,616120,0.0328153564704712,4354268,2338015,0.218789192070412,475349,672183,7867561,8348139
