Gene,num_high_correlations
S100A16,1768
LGALS3,1659
NOVA1,631
SCG3,630
SORBS2,499
MEX3B,465
MYH14,439
S100A4,429
TNKS1BP1,390
ROR2,379
ISG20,362
AZGP1,342
CSRP1,328
LMNA,299
AFDN,243
LASP1,207
LIN28B,170
SAMSN1,159
ANXA2,158
HMGN5,150
EPB41,148
YAP1,140
CPEB4,125
DSP,106
TDRD5,101
ADARB1,92
POLR2L,92
RPP25,85
RBM20,81
NOVA2,79
ZFP36L2,75
IGF2BP1,73
INTS9,70
FSCN1,60
ALDH7A1,56
ELAVL3,56
BASP1,55
LIN28A,55
NQO1,55
MYO5A,54
AEN,52
CD44,52
FUBP3,51
TEP1,42
ELAVL2,39
MIF4GD,38
CNP,37
LEPR,36
SAMD4A,36
CPLX2,35
TNRC6C,35
RNASE1,34
CELF3,32
POU5F1,32
CHGA,29
IDH1,25
FLNB,24
MSI2,24
PC,24
PCBP4,24
ZNF239,24
OAS2,23
TDRD3,23
AHNAK,22
ELAVL4,22
PLD6,22
KHDC1L,20
RBM14-RBM4,20
CRYZ,19
SORBS1,19
LGALS1,18
ZC3H12A,18
DAZ4,17
RTN4,17
SYNE2,17
DDX1,16
NXF2B,16
RBMS3,16
DAZ3,15
DQX1,15
LARP6,15
MYH9,15
NXF2,15
RBMS2,15
TAGLN2,15
BICC1,14
DAZ1,14
HLA-A,14
RRBP1,14
SRRM3,14
TMED10,14
ZMAT3,14
SRSF12,13
GTPBP2,12
ZFP36L1,12
FBLL1,11
SLC16A3,11
YBX2,11
ADK,10
CKAP4,10
DDX58,10
KIF1C,10
SMAD3,10
SMAD9,10
CGN,9
CRYAB,9
EZR,9
FADS2,9
PRDX1,9
ATP1A1,8
FASTKD1,8
HOXB6,8
NYNRIN,8
STK10,8
TRIM56,8
YBX3,8
CSDC2,7
CXXC5,7
ENOX1,7
MSI1,7
NDRG2,7
PCBP3,7
RBM38,7
S100A9,7
SRSF8,7
TRIM21,7
ZCCHC3,7
ZYX,7
ACO1,6
DMGDH,6
EML4,6
ESRP1,6
KRT18,6
MTCL1,6
NOL3,6
RBFOX2,6
SAMHD1,6
ANK3,5
CNN3,5
CTNNA1,5
KHDC1,5
KHDRBS3,5
MAP1B,5
MCRIP2,5
MEX3A,5
NANOS1,5
NDRG1,5
NDRG4,5
PPARGC1B,5
TES,5
ARHGEF28,4
DDX25,4
EXOSC4,4
HOOK1,4
LDHB,4
MAT1A,4
MBNL1,4
MVP,4
PDIA4,4
PKM,4
RBPMS,4
SNRPN,4
STRBP,4
TAGLN,4
TDRD9,4
CELF2,3
CNN1,3
CPEB1,3
DDX60L,3
F11R,3
IGF2BP2,3
NR0B1,3
NSUN7,3
PRIM1,3
PWP2,3
REPIN1,3
TLN1,3
TST,3
ANXA11,2
APOB,2
ATXN1,2
CALD1,2
CAST,2
CNN2,2
DDX60,2
DST,2
DUSP9,2
EBP,2
GPR161,2
GSTP1,2
HELZ2,2
HSPB1,2
IFIH1,2
IFIT3,2
IFIT5,2
MAP2,2
MAPT,2
PARP12,2
PATZ1,2
PAWR,2
PSIP1,2
PURG,2
RAVER2,2
RBMS1,2
RNASEL,2
RNASET2,2
RPL10L,2
SNTB1,2
STXBP1,2
TDRD12,2
TDRKH,2
TOP3B,2
U2AF1,2
ZNF385A,2
ACTN4,1
AFF1,1
AFF3,1
ALDH6A1,1
ALDOC,1
APOBEC3B,1
ARHGEF2,1
BST2,1
CDKN2A,1
CNDP2,1
CPEB2,1
CTIF,1
DCN,1
DNM1,1
DNMT3B,1
DZIP1,1
DZIP3,1
ENDOV,1
EPPK1,1
ERN2,1
ESRP2,1
FASN,1
FBN1,1
FKBP1A,1
FN1,1
FNDC3A,1
FNDC3B,1
GNE,1
GSPT2,1
HABP4,1
HSPA1A,1
HSPA1B,1
IGF2BP3,1
IQCG,1
LBR,1
MBNL3,1
MKRN3,1
MRPS21,1
MSN,1
MYO18A,1
NOC2L,1
OAS3,1
OASL,1
PABPC5,1
PCDHGA9,1
PEG10,1
PLEC,1
PPARGC1A,1
RANBP17,1
RBM23,1
RBM24,1
RBPMS2,1
RDM1,1
RDX,1
RNASE4,1
RPS27L,1
RRP15,1
SIDT2,1
SPATS2L,1
TDRD7,1
TERT,1
TRIP6,1
TSEN54,1
UTP14C,1
