sample,fastq_1,fastq_2,strandedness,condition
RBP1_no_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp1-rep1_S115_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp1-rep1_S115_R2_001.fastq.gz,forward,RBP1_no_dox
RBP1_no_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp1-rep2_S116_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp1-rep2_S116_R2_001.fastq.gz,forward,RBP1_no_dox
RBP2_no_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp2-rep1_S119_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp2-rep1_S119_R2_001.fastq.gz,forward,RBP2_no_dox
RBP2_no_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp2-rep2_S120_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp2-rep2_S120_R2_001.fastq.gz,forward,RBP2_no_dox
RBP3_no_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp3-rep1_S123_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp3-rep1_S123_R2_001.fastq.gz,forward,RBP3_no_dox
RBP3_no_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp3-rep2_S124_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp3-rep2_S124_R2_001.fastq.gz,forward,RBP3_no_dox
RBP4_no_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp4-rep1_S127_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp4-rep1_S127_R2_001.fastq.gz,forward,RBP4_no_dox
RBP4_no_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp4-rep2_S128_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp4-rep2_S128_R2_001.fastq.gz,forward,RBP4_no_dox
RBP5_no_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp5-rep1_S131_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp5-rep1_S131_R2_001.fastq.gz,forward,RBP5_no_dox
RBP5_no_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp5-rep2_S132_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp5-rep2_S132_R2_001.fastq.gz,forward,RBP5_no_dox
RBP6_no_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp6-rep1_S135_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp6-rep1_S135_R2_001.fastq.gz,forward,RBP6_no_dox
RBP6_no_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp6-rep2_S136_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp6-rep2_S136_R2_001.fastq.gz,forward,RBP6_no_dox
RBP7_no_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp7-rep1_S139_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp7-rep1_S139_R2_001.fastq.gz,forward,RBP7_no_dox
RBP7_no_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp7-rep2_S140_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp7-rep2_S140_R2_001.fastq.gz,forward,RBP7_no_dox
RBP8_no_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp8-rep1_S143_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp8-rep1_S143_R2_001.fastq.gz,forward,RBP8_no_dox
RBP8_no_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp8-rep2_S144_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp8-rep2_S144_R2_001.fastq.gz,forward,RBP8_no_dox
RBP9_no_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp9-rep1_S147_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp9-rep1_S147_R2_001.fastq.gz,forward,RBP9_no_dox
RBP9_no_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp9-rep2_S148_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp9-rep2_S148_R2_001.fastq.gz,forward,RBP9_no_dox
RBP10_no_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp10-rep1_S151_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp10-rep1_S151_R2_001.fastq.gz,forward,RBP10_no_dox
RBP10_no_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp10-rep2_S152_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp10-rep2_S152_R2_001.fastq.gz,forward,RBP10_no_dox
RBP11_no_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp11-rep1_S155_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp11-rep1_S155_R2_001.fastq.gz,forward,RBP1
RBP11_no_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp11-rep2_S156_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp11-rep2_S156_R2_001.fastq.gz,forward,RBP11_no_dox
RBP12_no_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp12-rep1_S159_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp12-rep1_S159_R2_001.fastq.gz,forward,RBP12_no_dox
RBP12_no_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp12-rep2_S160_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_no_dox_rbp12-rep2_S160_R2_001.fastq.gz,forward,RBP12_no_dox
RBP1_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp1-rep1_S117_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp1-rep1_S117_R2_001.fastq.gz,forward,RBP1_dox
RBP1_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp1-rep2_S118_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp1-rep2_S118_R2_001.fastq.gz,forward,RBP1_dox
RBP2_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp2-rep1_S121_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp2-rep1_S121_R2_001.fastq.gz,forward,RBP2_dox
RBP2_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp2-rep2_S122_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp2-rep2_S122_R2_001.fastq.gz,forward,RBP2_dox
RBP3_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp3-rep1_S125_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp3-rep1_S125_R2_001.fastq.gz,forward,RBP3_dox
RBP3_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp3-rep2_S126_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp3-rep2_S126_R2_001.fastq.gz,forward,RBP3_dox
RBP4_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp4-rep1_S129_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp4-rep1_S129_R2_001.fastq.gz,forward,RBP4_dox
RBP4_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp4-rep2_S130_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp4-rep2_S130_R2_001.fastq.gz,forward,RBP4_dox
RBP5_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp5-rep1_S133_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp5-rep1_S133_R2_001.fastq.gz,forward,RBP5_dox
RBP5_dox-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp5-rep2_S134_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp5-rep2_S134_R2_001.fastq.gz,forward,RBP5_dox
RBP6_dox-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp6-rep1_S137_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_hek_dox_rbp6-rep1_S137_R2_001.fastq.gz,forward,RBP6_dox
