filename,basename,sample,condition,rep_old,rep_new,sample_new,total_reads,total_aligned_reads,total_umi_count,duplication_rate,bc_not_found,perc_bc_not_found,skipped_reads,chimera_reads,perc_chimera_reads,unspliced_counter,minor_splice_counter,perfect_middle_exon,everything_passed_with_middle_exon
/mnt/dawnccle2/processed_data/satmutv1_dawn//satmut_8MGBA-rep1_S76_umi_dedup_fine_grained_idx.csv,satmut_8MGBA-rep1_S76_umi_dedup_fine_grained_idx.csv,satmut_8MGBA-rep1_S76,8MGBA,rep1,rep1,8MGBA-rep1,6353178,6046717,3504413,0.579556311300827,0,0,3630987,306183,0.141514286942387,128915,123196,1795339,1857436
/mnt/dawnccle2/processed_data/satmutv1_dawn//satmut_8MGBA-rep2_S77_umi_dedup_fine_grained_idx.csv,satmut_8MGBA-rep2_S77_umi_dedup_fine_grained_idx.csv,satmut_8MGBA-rep2_S77,8MGBA,rep2,rep2,8MGBA-rep2,7052232,6697140,3901115,0.582504621375692,0,0,4020842,336614,0.13975632094954,139886,127834,2001172,2071964
/mnt/dawnccle2/processed_data/satmutv1_dawn//satmut_8MGBA-rep3_S78_umi_dedup_fine_grained_idx.csv,satmut_8MGBA-rep3_S78_umi_dedup_fine_grained_idx.csv,satmut_8MGBA-rep3_S78,8MGBA,rep3,rep3,8MGBA-rep3,6382884,6067679,2999574,0.494352782999892,0,0,3678919,308448,0.143918298482281,126690,118854,1771324,1834768
/mnt/dawnccle2/processed_data/satmutv1_dawn//satmut_HCC1428-rep1_S94_umi_dedup_fine_grained_idx.csv,satmut_HCC1428-rep1_S94_umi_dedup_fine_grained_idx.csv,satmut_HCC1428-rep1_S94,HCC1428,rep1,rep1,HCC1428-rep1,8448841,8000879,809267,0.101147261444649,0,0,5702387,349491,0.17066106864414,95290,155336,1626343,1698375
/mnt/dawnccle2/processed_data/satmutv1_dawn//satmut_HCC1428-rep2_S95_umi_dedup_fine_grained_idx.csv,satmut_HCC1428-rep2_S95_umi_dedup_fine_grained_idx.csv,satmut_HCC1428-rep2_S95,HCC1428,rep2,rep2,HCC1428-rep2,6933726,6562987,666803,0.101600536463046,0,0,4592069,305080,0.174922266008214,86773,140056,1381092,1439009
/mnt/dawnccle2/processed_data/satmutv1_dawn//satmut_HCC1428-rep3_S96_umi_dedup_fine_grained_idx.csv,satmut_HCC1428-rep3_S96_umi_dedup_fine_grained_idx.csv,satmut_HCC1428-rep3_S96,HCC1428,rep3,rep3,HCC1428-rep3,8300798,7857764,694480,0.088381376686803,0,0,5506137,359294,0.172327724554976,98456,168225,1656040,1725652
/mnt/dawnccle2/processed_data/satmutv1_dawn//satmut_HCC38-rep1_S91_umi_dedup_fine_grained_idx.csv,satmut_HCC38-rep1_S91_umi_dedup_fine_grained_idx.csv,satmut_HCC38-rep1_S91,HCC38,rep1,rep1,HCC38-rep1,8178071,7766182,3263663,0.420240344612063,0,0,4711020,424583,0.153637641643764,71795,219832,2253897,2338952
/mnt/dawnccle2/processed_data/satmutv1_dawn//satmut_HCC38-rep2_S92_umi_dedup_fine_grained_idx.csv,satmut_HCC38-rep2_S92_umi_dedup_fine_grained_idx.csv,satmut_HCC38-rep2_S92,HCC38,rep2,rep2,HCC38-rep2,10359049,9843336,4907964,0.498607789066633,0,0,5974048,534665,0.153110827479737,100244,277031,2850750,2957348
/mnt/dawnccle2/processed_data/satmutv1_dawn//satmut_HCC38-rep3_S93_umi_dedup_fine_grained_idx.csv,satmut_HCC38-rep3_S93_umi_dedup_fine_grained_idx.csv,satmut_HCC38-rep3_S93,HCC38,rep3,rep3,HCC38-rep3,12395189,11780162,5236221,0.444494821038964,0,0,7508295,603117,0.155635264806029,103804,292868,3152399,3272078
/mnt/dawnccle2/processed_data/satmutv1_dawn//satmut_JHH6-rep2_S89_umi_dedup_fine_grained_idx.csv,satmut_JHH6-rep2_S89_umi_dedup_fine_grained_idx.csv,satmut_JHH6-rep2_S89,JHH6,rep2,rep2,JHH6-rep2,8392867,7981512,5217443,0.65369105502817,0,0,4510956,458165,0.143233139590138,72057,199763,2645345,2740571
