filename,basename,sample,condition,rep_old,rep_new,sample_new,total_reads,total_aligned_reads,total_umi_count,duplication_rate,bc_not_found,perc_bc_not_found,skipped_reads,chimera_reads,perc_chimera_reads,unspliced_counter,minor_splice_counter,perfect_middle_exon,everything_passed_with_middle_exon
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_kelly//KELLYspecific-A375-rep1_S1_umi_dedup_fine_grained_idx.csv,KELLYspecific-A375-rep1_S1_umi_dedup_fine_grained_idx.csv,KELLYspecific-A375-rep1_S1,KELLYspecific-A375,rep1,rep1,KELLYspecific-A375-rep1,8498065,8157974,5219571,0.639812164147618,0,0,6469770,204727,0.160236025418363,65667,344878,808305,1072932
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_kelly//KELLYspecific-A375-rep2_S2_umi_dedup_fine_grained_idx.csv,KELLYspecific-A375-rep2_S2_umi_dedup_fine_grained_idx.csv,KELLYspecific-A375-rep2_S2,KELLYspecific-A375,rep2,rep2,KELLYspecific-A375-rep2,8378316,8043916,5096826,0.633624965750513,0,0,6392546,200169,0.159788395266913,64621,334036,793780,1052544
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_kelly//KELLYspecific-A375-rep3_S3_umi_dedup_fine_grained_idx.csv,KELLYspecific-A375-rep3_S3_umi_dedup_fine_grained_idx.csv,KELLYspecific-A375-rep3_S3,KELLYspecific-A375,rep3,rep3,KELLYspecific-A375-rep3,8311693,7993775,5006452,0.626293834890274,0,0,6346203,198113,0.158555217372862,61790,336293,792978,1051376
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_kelly//KELLYspecific-HEK-rep1_S4_umi_dedup_fine_grained_idx.csv,KELLYspecific-HEK-rep1_S4_umi_dedup_fine_grained_idx.csv,KELLYspecific-HEK-rep1_S4,KELLYspecific-HEK,rep1,rep1,KELLYspecific-HEK-rep1,7061739,6848467,4726611,0.690170661550972,0,0,5622086,134082,0.139387216860944,26068,238374,572026,827857
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_kelly//KELLYspecific-HEK-rep2_S5_umi_dedup_fine_grained_idx.csv,KELLYspecific-HEK-rep2_S5_umi_dedup_fine_grained_idx.csv,KELLYspecific-HEK-rep2_S5,KELLYspecific-HEK,rep2,rep2,KELLYspecific-HEK-rep2,7833810,7588764,5301914,0.698653166708044,0,0,6227461,149600,0.139762926202185,28831,262088,636754,920784
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_kelly//KELLYspecific-HEK-rep3_S6_umi_dedup_fine_grained_idx.csv,KELLYspecific-HEK-rep3_S6_umi_dedup_fine_grained_idx.csv,KELLYspecific-HEK-rep3_S6,KELLYspecific-HEK,rep3,rep3,KELLYspecific-HEK-rep3,8354749,8110200,5584669,0.688598185001603,0,0,6641000,160850,0.139471888415553,31245,284676,686134,992429
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_kelly//KELLYspecific-KELLY-rep1_S7_umi_dedup_fine_grained_idx.csv,KELLYspecific-KELLY-rep1_S7_umi_dedup_fine_grained_idx.csv,KELLYspecific-KELLY-rep1_S7,KELLYspecific-KELLY,rep1,rep1,KELLYspecific-KELLY-rep1,14315530,13808446,8991817,0.651182399525624,0,0,10482460,339560,0.127988010829755,39602,633323,1526893,2313501
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_kelly//KELLYspecific-KELLY-rep2_S8_umi_dedup_fine_grained_idx.csv,KELLYspecific-KELLY-rep2_S8_umi_dedup_fine_grained_idx.csv,KELLYspecific-KELLY-rep2_S8,KELLYspecific-KELLY,rep2,rep2,KELLYspecific-KELLY-rep2,14324116,13826637,8937887,0.646425229793767,0,0,10524605,338162,0.128714910112107,43447,631368,1515702,2289055
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_kelly//KELLYspecific-KELLY-rep3_S9_umi_dedup_fine_grained_idx.csv,KELLYspecific-KELLY-rep3_S9_umi_dedup_fine_grained_idx.csv,KELLYspecific-KELLY-rep3_S9,KELLYspecific-KELLY,rep3,rep3,KELLYspecific-KELLY-rep3,12908638,12464840,8183656,0.656539193443317,0,0,9443330,306319,0.127310132435055,37071,578354,1378782,2099766
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_kelly//KELLYspecific-T47D-rep1_S15_umi_dedup_fine_grained_idx.csv,KELLYspecific-T47D-rep1_S15_umi_dedup_fine_grained_idx.csv,KELLYspecific-T47D-rep1_S15,KELLYspecific-T47D,rep1,rep1,KELLYspecific-T47D-rep1,1876890,1702431,1132696,0.66534032803679,0,0,1353756,43531,0.161304786043547,6670,72137,160104,226337
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_kelly//KELLYspecific-T47D-rep2_S16_umi_dedup_fine_grained_idx.csv,KELLYspecific-T47D-rep2_S16_umi_dedup_fine_grained_idx.csv,KELLYspecific-T47D-rep2_S16,KELLYspecific-T47D,rep2,rep2,KELLYspecific-T47D-rep2,4546501,4121815,2147917,0.521109511222605,0,0,3289473,105218,0.164088024715039,16698,174415,378217,536011
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_kelly//KELLYspecific-T47D-rep3_S17_umi_dedup_fine_grained_idx.csv,KELLYspecific-T47D-rep3_S17_umi_dedup_fine_grained_idx.csv,KELLYspecific-T47D-rep3_S17,KELLYspecific-T47D,rep3,rep3,KELLYspecific-T47D-rep3,12423947,11199879,4119094,0.367780223339913,0,0,8960518,283926,0.165119527681594,46047,473796,1010054,1435592
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_cancer//CANCERspecific-CH3-1-A1-rep1_S12_umi_dedup_fine_grained_idx.csv,CANCERspecific-CH3-1-A1-rep1_S12_umi_dedup_fine_grained_idx.csv,CANCERspecific-CH3-1-A1-rep1_S12,CANCERspecific-CH3-1-A1,rep1,rep1,CANCERspecific-CH3-1-A1-rep1,28497981,26981044,3852593,0.142788877998939,0,0,14786345,1643115,0.144266151102729,105955,699274,7234618,9746355
