ExonID	I1	S1	I2	S2	I_len	S_len	PValue	FDR
ENSG00000004534.15;RBM6;chr3-50068689-50068764-50066241-50066502-50075200-50075330__0:0:0__R2design0	6731,6516,6063	254,225,239	3595,3476,3431,2088,2341,2551,785,1581,3063	223,194,204,159,168,158,66,117,215	1	1	1	1.0
ENSG00000004534.15;RBM6;chr3-50068689-50068764-50066241-50066502-50075200-50075330__0:0:0__vae_Kelly_1_to_pos_R2design1	52,46,58	3516,3638,3293	2,7,5,4,3,2,4,8,9	2070,1927,1969,1894,2007,2091,630,1117,2176	1	1	1	1.0
ENSG00000004534.15;RBM6;chr3-50068689-50068764-50066241-50066502-50075200-50075330__0:0:0__vae_Kelly_1_to_pos_R2design10	4,5,5	894,979,891	0,0,0,0,0,0,0,0,3	616,599,583,660,740,797,500,835,1653	1	1	1	1.0
ENSG00000004534.15;RBM6;chr3-50068689-50068764-50066241-50066502-50075200-50075330__0:0:0__vae_Kelly_1_to_pos_R2design2	6,3,6	5824,5841,5182	5,6,4,2,4,6,2,1,0	2906,2935,2789,2583,3000,3103,558,997,2101	1	1	1	1.0
ENSG00000004534.15;RBM6;chr3-50068689-50068764-50066241-50066502-50075200-50075330__0:0:0__vae_Kelly_1_to_pos_R2design3	4,8,9	3222,3234,2975	0,2,3,4,3,2,0,2,12	1839,1891,1877,1912,2026,2129,620,1177,2166	1	1	1	1.0
ENSG00000004534.15;RBM6;chr3-50068689-50068764-50066241-50066502-50075200-50075330__0:0:0__vae_Kelly_1_to_pos_R2design4	6,2,1	1813,1804,1607	2,2,0,2,1,1,1,0,1	1076,1051,1060,989,1110,1144,594,1024,1891	1	1	1	1.0
ENSG00000004534.15;RBM6;chr3-50068689-50068764-50066241-50066502-50075200-50075330__0:0:0__vae_Kelly_1_to_pos_R2design5	40,24,27	6208,6036,5556	7,4,6,2,3,6,1,9,11	3754,3544,3521,3202,3520,3817,1058,1990,3673	1	1	1	1.0
ENSG00000004534.15;RBM6;chr3-50068689-50068764-50066241-50066502-50075200-50075330__0:0:0__vae_Kelly_1_to_pos_R2design6	3,3,3	2559,2555,2321	1,1,3,3,1,2,0,0,2	1478,1443,1417,1559,1726,1872,246,497,891	1	1	1	1.0
ENSG00000004534.15;RBM6;chr3-50068689-50068764-50066241-50066502-50075200-50075330__0:0:0__vae_Kelly_1_to_pos_R2design7	26,24,17	6365,6290,5766	5,11,4,9,6,1,2,2,1	3489,3517,3355,3854,4197,4467,663,1209,2194	1	1	1	1.0
ENSG00000004534.15;RBM6;chr3-50068689-50068764-50066241-50066502-50075200-50075330__0:0:0__vae_Kelly_1_to_pos_R2design8	138,125,133	634,630,609	4,3,9,4,7,10,6,9,10	436,438,454,464,560,560,281,503,904	1	1	4.90088525318e-10	1.22140951365e-08
ENSG00000004534.15;RBM6;chr3-50068689-50068764-50066241-50066502-50075200-50075330__0:0:0__vae_Kelly_1_to_pos_R2design9	889,803,743	4172,4497,3768	45,39,47,73,93,98,30,57,106	3212,3001,2954,3323,3560,3900,606,1144,2371	1	1	2.99757822564e-07	6.59173329423e-06
ENSG00000006607.14;FARP2;chr2-241462522-241462612-241436480-241436538-241463334-241463458__0:0:0__R2design0	5617,5617,5022	480,464,414	2199,2225,2175,1604,1786,1786,799,1479,2896	521,535,539,214,262,312,143,267,462	1	1	1	1.0
ENSG00000006607.14;FARP2;chr2-241462522-241462612-241436480-241436538-241463334-241463458__0:0:0__vae_Kelly_1_to_pos_R2design1	2049,2063,1995	2442,2524,2185	410,375,379,688,822,824,148,316,534	2792,2787,2748,2452,2922,3151,456,877,1567	1	1	0.0	0.0
ENSG00000006607.14;FARP2;chr2-241462522-241462612-241436480-241436538-241463334-241463458__0:0:0__vae_Kelly_1_to_pos_R2design2	5548,5388,5216	744,826,614	2270,2230,2207,2545,2811,3141,616,1160,2250	1431,1464,1323,734,876,821,246,451,794	1	1	5.18593441945e-06	0.000108710756101
ENSG00000006607.14;FARP2;chr2-241462522-241462612-241436480-241436538-241463334-241463458__0:0:0__vae_Kelly_1_to_pos_R2design3	3846,3676,3499	1098,1063,932	1169,1113,1175,1453,1650,1781,321,526,1085	1715,1643,1665,1239,1401,1483,162,332,617	1	1	1.3060470927e-08	3.05152461346e-07
ENSG00000006607.14;FARP2;chr2-241462522-241462612-241436480-241436538-241463334-241463458__0:0:0__vae_Kelly_1_to_pos_R2design4	804,780,638	154,184,130	266,279,266,509,506,535,224,454,813	311,274,303,198,244,261,167,269,536	1	1	1.00367942735e-07	2.22896332232e-06
ENSG00000006607.14;FARP2;chr2-241462522-241462612-241436480-241436538-241463334-241463458__0:0:0__vae_Kelly_1_to_pos_R2design5	3179,3040,2842	296,323,316	1327,1290,1271,1605,1799,1885,499,953,1766	718,727,647,312,374,373,192,381,684	1	1	3.66286032564e-05	0.000708258250897
ENSG00000007545.16;CRAMP1;chr16-1665056-1665138-1662698-1662835-1666421-1666600__0:0:0__R2design0	78671,76078,70976	1950,2044,1834	36107,35084,33762,29305,33326,35285,4855,9445,18627	2480,2520,2444,1543,1733,1763,228,420,942	1	1	1	1.0
ENSG00000007545.16;CRAMP1;chr16-1665056-1665138-1662698-1662835-1666421-1666600__0:0:0__vae_Kelly_1_to_pos_R2design1	1,1,1	1562,1495,1398	2,2,1,1,4,0,2,1,3	818,778,756,794,900,874,409,828,1351	1	1	1	1.0
ENSG00000007545.16;CRAMP1;chr16-1665056-1665138-1662698-1662835-1666421-1666600__0:0:0__vae_Kelly_1_to_pos_R2design2	6,6,7	6644,6500,6193	12,3,2,7,4,6,3,3,13	3853,3688,3701,3890,4447,4780,753,1423,2815	1	1	1	1.0
ENSG00000007545.16;CRAMP1;chr16-1665056-1665138-1662698-1662835-1666421-1666600__0:0:0__vae_Kelly_1_to_pos_R2design3	46,46,43	3448,3309,2879	9,15,12,14,19,21,9,30,37	1800,1863,1770,1522,1679,1747,620,1137,2150	1	1	1	1.0
ENSG00000007545.16;CRAMP1;chr16-1665056-1665138-1662698-1662835-1666421-1666600__0:0:0__vae_Kelly_1_to_pos_R2design4	4,2,2	4218,4268,3661	3,1,3,1,4,3,4,7,15	2066,2073,2029,1929,2166,2269,729,1356,2385	1	1	1	1.0
ENSG00000007545.16;CRAMP1;chr16-1665056-1665138-1662698-1662835-1666421-1666600__0:0:0__vae_Kelly_1_to_pos_R2design5	5,8,5	10437,10589,9811	9,14,7,1,6,8,5,5,2	5708,5843,5563,6210,7002,7228,1019,2022,3819	1	1	1	1.0
ENSG00000007545.16;CRAMP1;chr16-1665056-1665138-1662698-1662835-1666421-1666600__0:0:0__vae_Kelly_1_to_pos_R2design6	8,9,4	6530,6278,5721	8,10,6,0,2,5,4,4,5	3264,3127,2991,2854,3179,3314,793,1523,2681	1	1	1	1.0
ENSG00000007545.16;CRAMP1;chr16-1665056-1665138-1662698-1662835-1666421-1666600__0:0:0__vae_Kelly_1_to_pos_R2design7	7,5,5	11800,11812,10854	10,6,12,4,14,5,2,10,12	6065,6002,5621,6500,7329,7706,1084,2026,3895	1	1	1	1.0
ENSG00000007545.16;CRAMP1;chr16-1665056-1665138-1662698-1662835-1666421-1666600__0:0:0__vae_Kelly_1_to_pos_R2design8	3,3,2	3258,3416,3052	3,0,1,3,1,3,2,2,2	1721,1705,1751,1625,1816,1901,720,1235,2359	1	1	1	1.0
ENSG00000009950.16;MLXIPL;chr7-73607378-73607420-73606973-73607018-73607589-73607672__0:0:0__R2design0	34,31,31	4228,4159,3699	12,16,16,11,3,6,12,25,68	2431,2468,2347,2370,2594,2744,445,767,1404	1	1	1	1.0
ENSG00000009950.16;MLXIPL;chr7-73607378-73607420-73606973-73607018-73607589-73607672__0:0:0__vae_Kelly_0_to_pos_R2design1	0,1,0	3018,2939,2564	1,1,5,3,2,1,1,2,3	1666,1650,1744,1561,1704,1849,473,920,1759	1	1	1	1.0
ENSG00000009950.16;MLXIPL;chr7-73607378-73607420-73606973-73607018-73607589-73607672__0:0:0__vae_Kelly_0_to_pos_R2design2	0,0,0	1516,1473,1398	2,3,4,2,2,1,0,0,2	868,816,843,803,900,859,202,406,818	1	1	1	1.0
ENSG00000009950.16;MLXIPL;chr7-73607378-73607420-73606973-73607018-73607589-73607672__0:0:0__vae_Kelly_0_to_pos_R2design3	1,0,0	1831,1817,1634	1,4,2,1,2,1,0,1,1	1030,962,960,984,1098,1106,171,279,569	1	1	1	1.0
ENSG00000009950.16;MLXIPL;chr7-73607378-73607420-73606973-73607018-73607589-73607672__0:0:0__vae_Kelly_0_to_pos_R2design4	2,4,4	7612,7641,6985	12,11,13,8,5,7,1,5,7	4617,4448,4479,4373,4931,5291,652,1301,2438	1	1	1	1.0
ENSG00000009950.16;MLXIPL;chr7-73607378-73607420-73606973-73607018-73607589-73607672__0:0:0__vae_Kelly_0_to_pos_R2design5	0,0,0	991,973,894	0,4,1,0,1,2,0,2,4	695,680,622,512,580,661,497,928,1842	1	1	1	1.0
ENSG00000009950.16;MLXIPL;chr7-73607378-73607420-73606973-73607018-73607589-73607672__0:0:0__vae_Kelly_0_to_pos_R2design6	1,0,2	5060,5038,4647	6,2,6,3,2,3,0,1,3	2816,2914,2770,2617,2824,3071,581,1003,1924	1	1	1	1.0
ENSG00000009950.16;MLXIPL;chr7-73607378-73607420-73606973-73607018-73607589-73607672__0:0:0__vae_Kelly_0_to_pos_R2design7	0,0,1	1203,1223,1122	2,2,4,1,1,0,1,2,0	660,639,633,561,612,651,224,415,670	1	1	1	1.0
ENSG00000009950.16;MLXIPL;chr7-73607378-73607420-73606973-73607018-73607589-73607672__0:0:0__vae_Kelly_0_to_pos_R2design8	0,0,1	3419,3417,3057	8,4,2,3,1,3,1,1,2	2100,2047,2021,1931,2184,2250,397,851,1481	1	1	1	1.0
ENSG00000009950.16;MLXIPL;chr7-73607378-73607420-73606973-73607018-73607589-73607672__0:0:0__vae_Kelly_0_to_pos_R2design9	0,0,1	2085,2176,1861	6,2,6,2,1,3,1,3,1	1376,1421,1336,1194,1228,1358,362,647,1299	1	1	1	1.0
ENSG00000014138.9;POLA2;chr11-65267476-65267568-65266480-65266706-65268671-65268729__0:0:0__R2design0	6,3,2	5230,5388,4834	3,12,7,5,3,5,5,4,9	7025,7140,6698,5160,6138,6322,2004,3675,7076	1	1	1	1.0
ENSG00000014138.9;POLA2;chr11-65267476-65267568-65266480-65266706-65268671-65268729__0:0:0__vae_Kelly_0_to_pos_R2design1	6,5,7	5257,5227,4972	4,6,1,0,0,4,2,1,6	2927,2961,2907,2849,3122,3404,610,1057,2064	1	1	1	1.0
ENSG00000014138.9;POLA2;chr11-65267476-65267568-65266480-65266706-65268671-65268729__0:0:0__vae_Kelly_0_to_pos_R2design2	2,2,2	2464,2506,2124	2,4,1,2,2,7,2,1,3	1542,1539,1527,1346,1528,1630,556,992,1938	1	1	1	1.0
ENSG00000014138.9;POLA2;chr11-65267476-65267568-65266480-65266706-65268671-65268729__0:0:0__vae_Kelly_0_to_pos_R2design3	1,1,1	4350,4339,4110	7,1,2,0,1,3,0,3,4	2306,2243,2282,2040,2334,2489,688,1301,2609	1	1	1	1.0
ENSG00000014138.9;POLA2;chr11-65267476-65267568-65266480-65266706-65268671-65268729__0:0:0__vae_Kelly_0_to_pos_R2design4	1,2,1	1741,1757,1659	0,1,2,0,1,0,1,2,0	1183,1122,1146,1140,1322,1351,486,815,1479	1	1	1	1.0
ENSG00000014138.9;POLA2;chr11-65267476-65267568-65266480-65266706-65268671-65268729__0:0:0__vae_Kelly_0_to_pos_R2design5	5,2,1	5448,5511,5086	5,4,6,1,2,2,2,4,4	2820,2709,2799,2491,2713,2769,881,1528,2966	1	1	1	1.0
ENSG00000014138.9;POLA2;chr11-65267476-65267568-65266480-65266706-65268671-65268729__0:0:0__vae_Kelly_0_to_pos_R2design6	2,4,6	4860,4910,4540	5,7,10,2,4,4,2,3,7	2766,2586,2517,2708,3017,3209,529,1026,1880	1	1	1	1.0
ENSG00000014138.9;POLA2;chr11-65267476-65267568-65266480-65266706-65268671-65268729__0:0:0__vae_Kelly_0_to_pos_R2design7	4,3,4	5451,5398,5073	5,5,2,1,8,5,1,2,7	3175,3101,2845,3389,3727,4015,425,876,1673	1	1	1	1.0
ENSG00000014138.9;POLA2;chr11-65267476-65267568-65266480-65266706-65268671-65268729__0:0:0__vae_Kelly_0_to_pos_R2design8	2,0,2	3018,3093,2862	2,3,1,1,1,2,1,2,1	1680,1646,1637,1530,1688,1688,570,1026,1985	1	1	1	1.0
ENSG00000021461.17;CYP3A43;chr7-99856832-99856899-99828048-99828186-99859829-99859990__0:0:0__R2design0	58,45,44	1800,1956,1740	19,22,26,26,17,16,6,10,12	1060,936,889,861,1040,1051,154,293,561	1	1	1	1.0
