ExonID	I1	S1	I2	S2	I_len	S_len	PValue	FDR
ENSG00000000419.14;DPM1;chr20-50948628-50948662-50945736-50945923-50955185-50955285__0:0:0	2,3,0,1	4,5,0,1	0,0,0,0	0,1,5,2	1	1	1	1.0
ENSG00000000460.17;C1orf112;chr1-169847689-169847803-169843673-169843769-169849499-169849604__0:0:0	40,36,22,27	157,137,96,86	25,45,15,21	39,43,40,43	1	1	0.120951003592	0.829326461238
ENSG00000001084.13;GCLC;chr6-53522414-53522527-53520777-53520960-53544495-53544633__0:-102:0	1,0,0,0	6,0,0,2	0,0,3,0	0,0,0,0	1	1	1	1.0
ENSG00000001497.18;LAS1L;chrX-65520701-65520817-65517986-65518465-65523559-65523707__0:0:0	1,0,0,0	0,1,4,0	0,0,0,1	0,0,0,0	1	1	1	1.0
ENSG00000001617.12;SEMA3F;chr3-50159691-50159734-50155090-50155147-50173792-50173953__0:0:0	33,34,28,29	7,13,4,4	11,22,4,15	5,8,11,3	1	1	0.467433835978	1.0
ENSG00000001617.12;SEMA3F;chr3-50185442-50185531-50184591-50184814-50185665-50185707__0:0:0	13,8,7,2	4,3,1,5	10,5,4,0	3,3,1,5	1	1	0.838934736192	1.0
ENSG00000001617.12;SEMA3F;chr3-50186280-50186348-50185888-50186046-50186612-50186746__0:0:0	13,15,10,9	33,29,24,9	3,6,3,3	17,12,17,7	1	1	0.583923511025	1.0
ENSG00000001626.16;CFTR;chr7-117534275-117534365-117530898-117531114-117535247-117535411__0:-3:0	1,8,0,2	0,0,14,23	0,0,2,0	9,4,5,8	1	1	0.38176017583	1.0
ENSG00000001626.16;CFTR;chr7-117602825-117602863-117591933-117592657-117603531-117603782__14:0:0	0,2,0,2	1,0,0,0	0,0,0,0	0,1,0,0	1	1	1	1.0
ENSG00000001629.10;ANKIB1;chr7-92387974-92388041-92387797-92387884-92389970-92390116__0:-4:0	0,0,3,0	2,0,0,0	0,0,0,1	0,0,0,0	1	1	1	1.0
ENSG00000001629.10;ANKIB1;chr7-92392240-92392292-92391165-92391344-92396364-92396476__0:0:0	0,0,0,0	16,13,14,5	0,0,0,2	0,9,5,3	1	1	1	1.0
