ExonID	I1	S1	I2	S2	I_len	S_len	PValue	FDR
ENSG00000000460.17;C1orf112;chr1-169830258-169830341-169829262-169829449-169830695-169830747__0:0:0___ENSG00000000460.17;C1orf112;chr1-169830258-169830341-169829262-169829449-169830695-169830747__-46:-124:0	9,2,7	2,1,0	4,3,2	3,6,3	1	1	0.00103380818441	0.0346795654588
ENSG00000000460.17;C1orf112;chr1-169830258-169830341-169829262-169829449-169830695-169830747__0:0:0___ENSG00000000460.17;C1orf112;chr1-169830258-169830341-169829262-169829449-169830695-169830747__385:308:0	9,2,7	1,0,0	4,3,2	0,2,1	1	1	1	1.0
ENSG00000003147.19;ICA1;chr7-8235909-8235940-8232589-8232755-8262093-8262273__-65:0:0___ENSG00000003147.19;ICA1;chr7-8235909-8235940-8232589-8232755-8262093-8262273__0:0:0	290,227,284	205,171,196	256,380,332	92,124,79	1	1	0.000807246487095	0.0297873953738
ENSG00000004846.17;ABCB5;chr7-20647967-20648078-20647342-20647648-20650021-20650147__0:0:0___ENSG00000004846.17;ABCB5;chr7-20647967-20648078-20647342-20647648-20650021-20650147__28:0:0	8,8,13	2,3,1	4,20,11	4,3,3	1	1	1	1.0
ENSG00000004846.17;ABCB5;chr7-20647967-20648078-20647342-20647648-20650021-20650147__0:0:0___ENSG00000004846.17;ABCB5;chr7-20647967-20648078-20647342-20647648-20650021-20650147__98:0:0	8,8,13	2,6,8	4,20,11	7,12,16	1	1	0.475746742786	1.0
ENSG00000005206.17;SPPL2B;chr19-2344361-2344424-2343964-2344039-2344552-2344652__0:0:0___ENSG00000005206.17;SPPL2B;chr19-2344361-2344424-2343964-2344039-2344552-2344652__0:37:0	2,2,2	0,3,2	1,5,4	0,0,1	1	1	0.26837710938	1.0
ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__17:0:0___ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__0:0:0	27,16,24	8,8,15	25,31,50	7,9,2	1	1	0.254152727292	1.0
ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__17:0:0___ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__25:0:0	27,16,24	16,15,15	25,31,50	16,8,13	1	1	0.464948080793	1.0
ENSG00000005844.19;ITGAL;chr16-30505246-30505300-30499337-30499489-30505388-30505462__0:0:0___ENSG00000005844.19;ITGAL;chr16-30505246-30505300-30499337-30499489-30505388-30505462__-3:0:0	10,10,12	2,0,0	14,13,23	3,4,2	1	1	0.918370449404	1.0
ENSG00000006016.12;CRLF1;chr19-18594064-18594107-18593236-18593579-18594246-18594434__0:0:0___ENSG00000006016.12;CRLF1;chr19-18594064-18594107-18593236-18593579-18594246-18594434__-5:0:0	3,9,16	0,0,1	13,33,25	1,7,5	1	1	0.64390074587	1.0
