ExonID	I1	S1	I2	S2	I_len	S_len	PValue	FDR
ENSG00000000003.15;TSPAN6;chrX-100635177-100635252-100633930-100634029-100635557-100635746__0:0:0	10,21,0	7,6,0	9,6,0	3,2,1	1	1	1	1.0
ENSG00000000457.14;SCYL3;chr1-169870254-169870357-169868927-169869039-169873695-169873752__0:-5:0	0,0,0	18,0,2	0,4,0	1,0,1	1	1	1	1.0
ENSG00000000457.14;SCYL3;chr1-169875977-169876091-169873695-169873752-169878633-169878819__0:-2:0	0,2,0	0,0,0	0,0,1	0,0,9	1	1	1	1.0
ENSG00000000460.17;C1orf112;chr1-169847689-169847803-169843673-169843769-169849499-169849604__0:0:0	40,11,12	34,67,31	26,12,7	58,67,42	1	1	0.99531599881	1.0
ENSG00000000460.17;C1orf112;chr1-169850264-169850345-169849499-169849604-169851816-169851936__0:0:0	47,45,64	0,1,0	52,55,32	4,7,8	1	1	1	1.0
ENSG00000001084.13;GCLC;chr6-53500431-53500513-53500199-53500350-53505391-53505496__0:0:0	95,114,55	16,0,0	76,43,46	11,15,4	1	1	1	1.0
ENSG00000001497.18;LAS1L;chrX-65528259-65528369-65524763-65525050-65529211-65529258__0:-93:0	0,0,0	9,11,2	0,1,0	16,1,0	1	1	1	1.0
ENSG00000001497.18;LAS1L;chrX-65529211-65529258-65524964-65525050-65529593-65529878__0:0:0	0,0,0	5,3,2	1,2,0	5,2,1	1	1	1	1.0
ENSG00000001617.12;SEMA3F;chr3-50174051-50174114-50173792-50173953-50174230-50174350__0:0:0	2,7,7	0,0,0	1,3,8	1,0,0	1	1	1	1.0
ENSG00000001617.12;SEMA3F;chr3-50176767-50176861-50175095-50175188-50182283-50182403__0:0:0	12,4,5	0,3,0	5,3,4	3,1,1	1	1	0.51348278419	1.0
ENSG00000001617.12;SEMA3F;chr3-50185442-50185531-50184591-50184814-50185665-50185707__0:0:0	0,13,4	7,0,0	2,5,0	3,0,2	1	1	0.367315789859	1.0
ENSG00000001617.12;SEMA3F;chr3-50186280-50186348-50185888-50186046-50186612-50186746__0:0:0	8,2,2	28,25,9	23,18,15	20,22,2	1	1	0.000522929331539	0.00895337288148
ENSG00000001626.16;CFTR;chr7-117534275-117534365-117530898-117531114-117535247-117535411__0:-3:0	11,0,0	0,0,12	1,2,0	25,28,24	1	1	1	1.0
ENSG00000001626.16;CFTR;chr7-117712340-117712404-117710610-117710701-117714170-117714265__0:0:0	32,34,81	20,30,24	35,78,50	67,67,36	1	1	0.371057606018	1.0
ENSG00000001630.17;CYP51A1;chr7-92117043-92117092-92113584-92113843-92117176-92117212__0:0:0	15,57,26	0,15,1	11,11,10	4,10,10	1	1	0.0129221411604	0.10804805458
ENSG00000001631.16;KRIT1;chr7-92225719-92225827-92222821-92222978-92226525-92226682__0:0:0	12,17,11	0,0,3	6,4,4	5,1,2	1	1	0.0462716396568	0.270860677942
ENSG00000002016.18;RAD52;chr12-931219-931321-929763-930144-932974-933058__0:0:0	6,10,2	0,0,2	19,2,10	0,0,0	1	1	1	1.0
ENSG00000002079.14;MYH16;chr7-99273341-99273423-99270956-99271093-99277538-99277712__0:0:0	11,64,42	5,6,0	25,18,11	12,5,17	1	1	0.0171547855498	0.133306240682
ENSG00000002079.14;MYH16;chr7-99285381-99285438-99284844-99284935-99287891-99288137__-65:0:0	0,1,0	2,0,0	1,4,1	1,3,0	1	1	1	1.0
ENSG00000002586.20_PAR_Y;CD99;chrY-2717604-2717652-2714421-2714454-2719660-2719705__0:0:0	0,0,1	1,0,5	1,2,5	3,3,2	1	1	1	1.0
ENSG00000002746.15;HECW1;chr7-43508017-43508131-43507136-43507257-43508968-43509121__0:-68:0	0,0,0	1,0,0	0,0,3	6,0,0	1	1	1	1.0
