ExonID	I1	S1	I2	S2	I_len	S_len	PValue	FDR
ENSG00000000460.17;C1orf112;chr1-169830258-169830341-169829262-169829449-169830695-169830747__0:0:0___ENSG00000000460.17;C1orf112;chr1-169830258-169830341-169829262-169829449-169830695-169830747__368:308:0	10,6,12,3	0,0,0,4	10,10,7,6	0,0,0,1	1	1	1	1.0
ENSG00000003147.19;ICA1;chr7-8235909-8235940-8232589-8232755-8262093-8262273__-65:0:0___ENSG00000003147.19;ICA1;chr7-8235909-8235940-8232589-8232755-8262093-8262273__0:0:0	27,40,24,40	44,43,33,35	29,41,30,11	15,24,16,6	1	1	0.0758319467696	0.824802270343
ENSG00000004846.17;ABCB5;chr7-20647967-20648078-20647342-20647648-20650021-20650147__0:0:0___ENSG00000004846.17;ABCB5;chr7-20647967-20648078-20647342-20647648-20650021-20650147__98:0:0	8,10,1,2	1,0,1,1	0,1,5,2	0,0,0,1	1	1	1	1.0
ENSG00000005189.20;REXO5;chr16-20814984-20815053-20813189-20813302-20821761-20821834__0:0:0___ENSG00000005189.20;REXO5;chr16-20814984-20815053-20813189-20813302-20821761-20821834__-58:0:0	50,28,12,15	11,1,2,1	2,13,21,3	1,4,11,3	1	1	0.167321551874	1.0
ENSG00000005206.17;SPPL2B;chr19-2344361-2344424-2343964-2344039-2344552-2344652__0:0:0___ENSG00000005206.17;SPPL2B;chr19-2344361-2344424-2343964-2344039-2344552-2344652__0:37:0	4,9,6,2	1,0,0,0	2,0,5,3	1,1,1,2	1	1	1	1.0
ENSG00000005469.12;CROT;chr7-87382073-87382181-87381909-87381993-87382412-87382543__0:0:0___ENSG00000005469.12;CROT;chr7-87382073-87382181-87381909-87381993-87382412-87382543__0:-4:0	16,9,4,5	3,1,4,0	5,9,4,1	0,1,0,0	1	1	1	1.0
ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__17:0:0___ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__0:0:0	16,11,7,6	8,5,1,3	10,12,6,4	2,4,1,0	1	1	0.325861159368	1.0
ENSG00000005884.18;ITGA3;chr17-50075458-50075526-50074447-50074534-50075598-50075700__0:0:0___ENSG00000005884.18;ITGA3;chr17-50075458-50075526-50074447-50074534-50075598-50075700__-68:0:0	20,21,9,26	1,1,0,4	13,17,9,2	2,0,3,1	1	1	1	1.0
ENSG00000006025.12;OSBPL7;chr17-47808863-47808946-47808537-47808660-47809075-47809115__-44:0:0___ENSG00000006025.12;OSBPL7;chr17-47808863-47808946-47808537-47808660-47809075-47809115__0:0:0	1,8,1,1	1,2,0,0	2,0,0,1	1,1,0,1	1	1	1	1.0
ENSG00000006530.18;AGK;chr7-141615470-141615565-141614145-141614178-141621731-141621790__0:0:0___ENSG00000006530.18;AGK;chr7-141615470-141615565-141614145-141614178-141621731-141621790__0:-85:0	53,62,9,21	18,9,3,3	9,14,4,7	7,10,1,1	1	1	0.699703052572	1.0
