ExonID	I1	S1	I2	S2	I_len	S_len	PValue	FDR
ENSG00000006025.12;OSBPL7;chr17-47808863-47808946-47808537-47808660-47809075-47809115__0:0:0__R2design0	10,22,13	54,64,36	7,8,0	57,54,32	1	1	0.331504855027	1.0
ENSG00000006611.17;USH1C;chr11-17516240-17516290-17501938-17501980-17517400-17517474__0:0:0__R2design0	0,2,1,1	1899,2055,2044,1180	6,6,10,6	3975,2542,1834,1563	1	1	1	1.0
ENSG00000008710.20;PKD1;chr16-2108251-2108358-2106940-2106948-2112339-2112473__0:0:0__R2design0	3,3,2,1	145,132,172,109	0,0,2,4	151,125,74,66	1	1	1	1.0
ENSG00000010310.9;GIPR;chr19-45681603-45681645-45678087-45678226-45681728-45681988__0:0:0__R2design0	11,14,6,8	2190,2307,2008,1309	87,61,31,44	4802,3180,2423,2070	1	1	1	1.0
ENSG00000011201.12;ANOS1;chrX-8699697-8699745-8623607-8623670-8731829-8732137__0:0:0__R2design0	6187,7052,6332,3927	177,160,196,158	10871,6829,5690,4795	283,268,122,106	1	1	1	1.0
ENSG00000011201.12;ANOS1;chrX-8699697-8699745-8623607-8623670-8731829-8732137__0:0:0__vae_cancer_RBM10_0_to_neg_R2design1	2561,2876,2831,1761	57,47,61,33	5440,3470,2610,2272	95,90,42,39	1	1	1	1.0
ENSG00000011201.12;ANOS1;chrX-8699697-8699745-8623607-8623670-8731829-8732137__0:0:0__vae_cancer_RBM10_0_to_neg_R2design2	1622,1953,2012,1054	35,63,69,36	3026,1971,1559,1299	92,95,49,36	1	1	1	1.0
ENSG00000011201.12;ANOS1;chrX-8699697-8699745-8623607-8623670-8731829-8732137__0:0:0__vae_cancer_RBM10_0_to_neg_R2design3	1657,1764,1680,953	70,84,85,60	2948,1859,1690,1385	101,90,48,35	1	1	1	1.0
ENSG00000011201.12;ANOS1;chrX-8699697-8699745-8623607-8623670-8731829-8732137__0:0:0__vae_cancer_RBM10_0_to_neg_R2design4	1991,2160,2039,1144	63,86,75,78	3913,2595,2072,1756	125,110,55,86	1	1	1	1.0
ENSG00000011201.12;ANOS1;chrX-8699697-8699745-8623607-8623670-8731829-8732137__0:0:0__vae_cancer_RBM10_0_to_neg_R2design5	1112,1134,1086,727	40,37,31,30	2238,1397,1221,975	79,56,30,33	1	1	1	1.0
ENSG00000011201.12;ANOS1;chrX-8699697-8699745-8623607-8623670-8731829-8732137__0:0:0__vae_cancer_RBM10_0_to_neg_R2design6	108,121,126,63	7,4,9,4	214,136,141,96	11,4,5,3	1	1	1	1.0
ENSG00000011201.12;ANOS1;chrX-8699697-8699745-8623607-8623670-8731829-8732137__0:0:0__vae_cancer_RBM10_0_to_neg_R2design7	2120,2511,2320,1470	84,93,90,66	4686,2966,2607,2215	154,137,72,75	1	1	1	1.0
ENSG00000011201.12;ANOS1;chrX-8699697-8699745-8623607-8623670-8731829-8732137__0:0:0__vae_cancer_RBM10_0_to_neg_R2design8	2110,2172,2076,1319	53,76,66,48	3874,2465,1779,1611	109,101,41,38	1	1	1	1.0
ENSG00000011201.12;ANOS1;chrX-8699697-8699745-8623607-8623670-8731829-8732137__0:0:0__vae_cancer_RBM10_0_to_pos_R2design10	33,48,24,23	290,315,396,242	38,54,49,49	607,394,305,252	1	1	1	1.0
ENSG00000011201.12;ANOS1;chrX-8699697-8699745-8623607-8623670-8731829-8732137__0:0:0__vae_cancer_RBM10_0_to_pos_R2design9	256,520,568,311	52,42,83,50	247,812,495,521	120,78,40,44	1	1	1	1.0
ENSG00000011304.22;PTBP1;chr19-808379-808452-806407-806556-808545-808646__0:0:0__R2design0	99,78,126,64	87,122,110,75	97,61,30,39	187,113,83,84	1	1	0.120096159858	1.0
ENSG00000011454.18;RABGAP1;chr9-123099477-123099549-123098714-123098798-123101565-123101763__0:0:0__R2design0	937,1019,801,517	43,34,46,27	2028,1413,1133,880	86,71,51,42	1	1	1	1.0
ENSG00000011566.15;MAP4K3;chr2-39315309-39315388-39309460-39309519-39325517-39325628__0:0:0__R2design0	4118,4856,3904,2160	176,209,191,119	7525,4883,3907,3423	358,243,174,146	1	1	1	1.0
ENSG00000014138.9;POLA2;chr11-65281669-65281732-65280467-65281147-65282478-65282521__0:0:0__R2design0	2795,3281,2598,1600	117,84,95,81	4134,2759,2390,2135	145,118,77,89	1	1	1	1.0
ENSG00000014138.9;POLA2;chr11-65289798-65289872-65289049-65289088-65294152-65294261__0:0:0__R2design0	1069,1195,1063,611	115,109,123,112	1607,1039,818,716	194,121,87,92	1	1	1	1.0
ENSG00000014216.16;CAPN1;chr11-65187954-65188040-65187214-65187298-65188413-65188488__0:0:0__R2design0	0,1,1	60,97,75	1,9,1,1	75,51,56,45	1	1	1	1.0
ENSG00000014216.16;CAPN1;chr11-65187954-65188040-65187214-65187298-65188413-65188488__0:0:0__vae_cancer_RBM10_0_to_neg_R2design1	0,0,2,1	88,113,103,77	3,6,0,1	177,92,73,71	1	1	1	1.0
ENSG00000014216.16;CAPN1;chr11-65187954-65188040-65187214-65187298-65188413-65188488__0:0:0__vae_cancer_RBM10_0_to_neg_R2design2	4,5,3,4	196,227,249,157	3,14,10,3	365,233,165,168	1	1	1	1.0
ENSG00000014216.16;CAPN1;chr11-65187954-65188040-65187214-65187298-65188413-65188488__0:0:0__vae_cancer_RBM10_0_to_pos_R2design3	0,0,0,0	57,33,72,37	0,0,0,0	118,68,46,47	1	1	1	1.0
ENSG00000014216.16;CAPN1;chr11-65187954-65188040-65187214-65187298-65188413-65188488__0:0:0__vae_cancer_RBM10_0_to_pos_R2design4	1,0,1,0	576,684,616,399	0,0,1,0	1034,647,564,354	1	1	1	1.0
ENSG00000014216.16;CAPN1;chr11-65187954-65188040-65187214-65187298-65188413-65188488__0:0:0__vae_cancer_RBM10_0_to_pos_R2design5	0,0,0,0	157,145,175,108	0,0,0,0	234,194,145,107	1	1	1	1.0
ENSG00000014216.16;CAPN1;chr11-65187954-65188040-65187214-65187298-65188413-65188488__0:0:0__vae_cancer_RBM10_0_to_pos_R2design6	0,0,0,0	94,74,84,39	0,0,0,0	138,93,61,55	1	1	1	1.0
ENSG00000014216.16;CAPN1;chr11-65187954-65188040-65187214-65187298-65188413-65188488__0:0:0__vae_cancer_RBM10_0_to_pos_R2design7	0,0,0,0	94,143,118,74	0,0,0,0	223,101,106,72	1	1	1	1.0
ENSG00000018189.13;RUFY3;chr4-70773510-70773572-70768537-70768661-70775167-70775206__0:0:0__R2design0	254,256,194,115	19,16,16,8	440,312,232,212	23,15,17,9	1	1	1	1.0
ENSG00000018189.13;RUFY3;chr4-70773510-70773572-70768537-70768661-70775167-70775206__0:0:0__vae_cancer_RBM10_0_to_neg_R2design1	2,0,0,0	73,61,66,38	2,0,1,0	102,59,70,46	1	1	1	1.0
ENSG00000018189.13;RUFY3;chr4-70773510-70773572-70768537-70768661-70775167-70775206__0:0:0__vae_cancer_RBM10_0_to_neg_R2design2	4,2,1,4	636,713,746,489	2,0,0,4	1297,808,613,557	1	1	1	1.0
ENSG00000018189.13;RUFY3;chr4-70773510-70773572-70768537-70768661-70775167-70775206__0:0:0__vae_cancer_RBM10_0_to_neg_R2design3	1,4	53,26	1,3	63,46	1	1	1	1.0
ENSG00000018189.13;RUFY3;chr4-70773510-70773572-70768537-70768661-70775167-70775206__0:0:0__vae_cancer_RBM10_0_to_pos_R2design4	0,2,0,5	998,1105,1061,740	1,3,2,0	1932,1296,939,841	1	1	1	1.0
ENSG00000018189.13;RUFY3;chr4-70773510-70773572-70768537-70768661-70775167-70775206__0:0:0__vae_cancer_RBM10_0_to_pos_R2design5	0,0,0,1	575,664,683,421	1,0,2,0	1157,757,552,438	1	1	1	1.0
ENSG00000018189.13;RUFY3;chr4-70773510-70773572-70768537-70768661-70775167-70775206__0:0:0__vae_cancer_RBM10_0_to_pos_R2design6	0,2,0,0	1097,1142,1278,833	0,0,2,1	2383,1599,1073,907	1	1	1	1.0
ENSG00000018699.13;TTC27;chr2-32702806-32702920-32678855-32678922-32733827-32733921__0:0:0__R2design0	1271,1550,1239,730	45,45,33,26	2348,1625,1132,1013	59,64,33,37	1	1	1	1.0
ENSG00000018699.13;TTC27;chr2-32782625-32782678-32758291-32758519-32811023-32811221__0:0:0__R2design0	1450,1515,1445,906	94,102,90,99	2234,1456,1194,919	136,113,67,63	1	1	1	1.0
ENSG00000020922.13;MRE11;chr11-94435831-94435899-94429910-94429986-94437176-94437235__0:0:0__R2design0	578,524,516,291	16,30,29,20	605,451,294,309	36,23,18,7	1	1	1	1.0
ENSG00000021776.11;AQR;chr15-34893662-34893773-34890214-34890324-34896896-34896966__0:0:0__R2design0	3752,4383,3736,1944	138,164,165,123	5760,3717,3019,2491	256,221,130,101	1	1	1	1.0
ENSG00000021826.17;CPS1;chr2-210654024-210654102-210650362-210650438-210656524-210656632__0:0:0__R2design0	1855,2038,1907,888	54,48,54,30	2878,2221,1604,1386	71,76,34,29	1	1	1	1.0
ENSG00000039123.16;MTREX;chr5-55327715-55327778-55324131-55324198-55328698-55328811__0:0:0__R2design0	2320,2622,1930,1052	79,94,68,63	3282,2051,1617,1534	103,92,65,48	1	1	1	1.0
ENSG00000039123.16;MTREX;chr5-55379126-55379195-55378313-55378486-55387973-55388102__0:0:0__R2design0	2597,2831,2225,1306	80,64,84,50	4352,2945,2240,1839	136,97,54,49	1	1	1	1.0
ENSG00000039123.16;MTREX;chr5-55414181-55414238-55410523-55410629-55415969-55416129__0:0:0__R2design0	3111,3534,2799,1768	82,107,94,68	6271,4063,3567,2907	159,159,83,81	1	1	1	1.0
ENSG00000042832.12;TG;chr8-132983349-132983412-132972597-132972741-133011900-133012035__0:0:0__R2design0	5679,6270,5469,3231	208,221,217,120	9292,5777,5000,4432	299,275,166,128	1	1	1	1.0
ENSG00000047634.15;SCML1;chrX-17745455-17745539-17737550-17737680-17746014-17746098__0:0:0__R2design0	0,7,4,1	949,980,1069,731	2,1,0,2	1526,1023,750,652	1	1	1	1.0
ENSG00000048342.18;CC2D2A;chr4-15475914-15475971-15469864-15470057-15478722-15478806__0:0:0__R2design0	1258,1422,1214,711	41,56,43,29	1695,1142,1187,928	72,55,38,38	1	1	1	1.0
ENSG00000048740.18;CELF2;chr10-11249152-11249201-11165483-11165682-11257737-11257872__0:0:0__R2design0	3023,3004,2931,1860	84,86,109,84	6316,4396,3301,2735	176,146,103,76	1	1	1	1.0
ENSG00000049167.16;ERCC8;chr5-60887439-60887520-60866453-60874683-60898275-60898400__0:0:0__R2design0	966,1047,992,606	53,49,88,45	1638,1169,784,671	96,68,43,25	1	1	1	1.0
ENSG00000049759.20;NEDD4L;chr18-58389084-58389192-58387438-58387498-58390645-58390742__0:0:0__R2design0	1480,1754,1486,803	53,46,45,35	2850,1866,1575,1402	96,87,64,38	1	1	1	1.0
ENSG00000050628.20;PTGER3;chr1-70953762-70953789-70852352-70852859-71012304-71012484__0:0:0__R2design0	718,847,716,491	45,41,49,40	1255,907,607,563	74,57,45,36	1	1	1	1.0
ENSG00000051382.9;PIK3CB;chr3-138733360-138733438-138714467-138714719-138734633-138734804__0:0:0__R2design0	1053,1184,929,547	22,20,26,15	1494,954,755,634	22,27,18,22	1	1	1	1.0
ENSG00000052749.14;RRP12;chr10-97393683-97393760-97390422-97390539-97396217-97396301__0:0:0__R2design0	474,517,389,249	40,73,58,53	708,477,312,279	119,65,69,40	1	1	1	1.0
ENSG00000060140.9;STYK1;chr12-10627640-10627724-10624650-10624859-10629492-10629674__0:0:0__R2design0	3922,4320,3692,2232	48,73,56,67	7068,4683,4093,3289	99,109,56,52	1	1	1	1.0
ENSG00000061273.18;HDAC7;chr12-47795905-47796016-47795586-47795767-47796206-47796298__0:0:0__R2design0	1,0,1,0	544,603,557,432	1,1,1,1	1196,791,521,483	1	1	1	1.0
ENSG00000061273.18;HDAC7;chr12-47795905-47796016-47795586-47795767-47796206-47796298__0:0:0__vae_cancer_RBM10_0_to_neg_R2design1	4,14,4,1	80,70,98,53	8,3,9,8	197,128,129,82	1	1	1	1.0
ENSG00000061273.18;HDAC7;chr12-47795905-47796016-47795586-47795767-47796206-47796298__0:0:0__vae_cancer_RBM10_0_to_neg_R2design2	16,32,17,9	38,50,32,30	17,17,17,14	52,44,36,19	1	1	1	1.0
