ExonID	I1	S1	I2	S2	I_len	S_len	PValue	FDR
ENSG00000000419.14;DPM1;chr20-50945736-50945762-50942030-50942126-50945846-50945861__0:0:0	207,307,158,186	22,11,14,22	319,315,151,119	105,75,44,51	1	1	0.000827333638769	0.0268845554009
ENSG00000000419.14;DPM1;chr20-50948628-50948662-50945736-50945923-50955185-50955285__0:0:0	2,3,0,1	4,5,0,1	3,0,0,0	6,11,3,2	1	1	1	1.0
ENSG00000001084.13;GCLC;chr6-53522414-53522527-53520777-53520960-53544495-53544633__0:-102:0	1,0,0,0	6,0,0,2	0,1,0,0	1,0,0,5	1	1	1	1.0
ENSG00000001617.12;SEMA3F;chr3-50175095-50175188-50174230-50174350-50176767-50176861__0:0:0	0,0,0,0	4,0,0,3	2,1,0,2	9,4,8,4	1	1	1	1.0
ENSG00000001626.16;CFTR;chr7-117534275-117534365-117530898-117531114-117535247-117535411__0:-3:0	1,8,0,2	0,0,14,23	8,3,0,0	6,24,12,25	1	1	0.573941708662	1.0
ENSG00000001626.16;CFTR;chr7-117602825-117602863-117591933-117592657-117603531-117603782__14:0:0	0,2,0,2	1,0,0,0	0,1,2,0	0,0,0,0	1	1	1	1.0
ENSG00000001626.16;CFTR;chr7-117712340-117712404-117710610-117710701-117714170-117714265__0:0:0	100,120,29,85	22,26,16,37	157,131,44,64	73,89,32,30	1	1	0.518149473264	1.0
ENSG00000001629.10;ANKIB1;chr7-92387797-92387884-92386508-92386643-92387974-92388041__0:0:0	68,41,21,20	0,0,5,1	57,36,17,11	7,9,7,2	1	1	0.235429170878	0.9182916438
ENSG00000001629.10;ANKIB1;chr7-92387974-92388041-92387797-92387884-92389970-92390116__0:-4:0	0,0,3,0	2,0,0,0	1,0,0,0	0,0,0,0	1	1	1	1.0
ENSG00000002079.14;MYH16;chr7-99285381-99285438-99284844-99284935-99287891-99288137__-65:0:0	0,0,0,0	2,0,1,1	3,5,0,0	2,2,0,0	1	1	1	1.0
ENSG00000002933.9;TMEM176A;chr7-150804361-150804472-150803619-150803832-150804826-150804936__11:0:0	3,2,5,0	3,4,7,9	4,6,4,2	0,7,6,5	1	1	0.329042763516	1.0
ENSG00000003096.14;KLHL13;chrX-118028423-118028497-117945433-117945575-118116507-118116865__0:-53:0	1,0,0,0	1,11,2,5	1,0,0,0	0,0,26,5	1	1	1	1.0
ENSG00000003393.16;ALS2;chr2-201727704-201727775-201727211-201727278-201728511-201728640__0:-2:0	1,2,4,0	4,1,3,0	1,1,0,0	0,0,0,7	1	1	1	1.0
ENSG00000003393.16;ALS2;chr2-201727704-201727775-201727211-201727278-201728511-201728640__0:-4:0	0,1,0,0	4,1,3,0	3,0,5,3	0,0,0,7	1	1	1	1.0
ENSG00000003509.16;NDUFAF7;chr2-37243910-37243973-37241577-37242693-37246051-37246195__-48:-46:0	0,7,0,3	0,0,25,33	9,7,5,2	94,116,16,27	1	1	1	1.0
ENSG00000003509.16;NDUFAF7;chr2-37243910-37243973-37241577-37242693-37246051-37246195__0:0:0	37,20,16,32	0,0,25,33	24,16,24,18	94,116,16,27	1	1	0.00109339107761	0.0323444204707
ENSG00000003756.17;RBM5;chr3-50104247-50104308-50100531-50103166-50105076-50105142__0:0:0	119,72,69,52	70,48,42,35	85,84,58,40	145,147,45,44	1	1	0.0683170808333	0.476260653121
ENSG00000003756.17;RBM5;chr3-50110378-50110463-50109602-50109688-50110678-50110770__0:0:0	141,164,51,69	131,150,123,116	111,98,43,44	332,302,153,150	1	1	0.0350528054271	0.3212008267
ENSG00000004139.14;SARM1;chr17-28388173-28388276-28385039-28385275-28388349-28388394__0:0:0	0,3,1,1	10,5,12,2	2,0,6,3	3,17,1,3	1	1	0.188121232034	0.827350585203
ENSG00000004142.12;POLDIP2;chr17-28352911-28353019-28351663-28351800-28353694-28353791__0:-2:0	3,4,1,2	0,0,5,0	2,0,3,1	0,0,0,0	1	1	1	1.0
ENSG00000004142.12;POLDIP2;chr17-28353240-28353316-28352911-28353019-28353694-28353791__-40:0:0	1,1,0,0	0,0,8,2	2,3,3,0	0,0,0,0	1	1	1	1.0
