ExonID	I1	S1	I2	S2	I_len	S_len	PValue	FDR
ENSG00000003147.19;ICA1;chr7-8235909-8235940-8232589-8232755-8262093-8262273__-65:0:0___ENSG00000003147.19;ICA1;chr7-8235909-8235940-8232589-8232755-8262093-8262273__0:0:0	27,40,24,40	44,43,33,35	42,36,5,12	20,8,10,5	1	1	0.196039729892	1.0
ENSG00000003402.20;CFLAR;chr2-201142644-201142762-201140356-201140439-201145377-201145432__-21:0:0___ENSG00000003402.20;CFLAR;chr2-201142644-201142762-201140356-201140439-201145377-201145432__0:0:0	107,100,61,99	155,146,90,77	43,64,37,33	24,38,30,24	1	1	0.164847047848	1.0
ENSG00000004399.13;PLXND1;chr3-129566526-129566631-129565886-129566017-129567491-129567604__-44:0:0___ENSG00000004399.13;PLXND1;chr3-129566526-129566631-129565886-129566017-129567491-129567604__-47:0:0	20,28,10,27	5,1,1,2	2,0,0,2	0,0,0,2	1	1	1	1.0
ENSG00000004399.13;PLXND1;chr3-129566526-129566631-129565886-129566017-129567491-129567604__-44:0:0___ENSG00000004399.13;PLXND1;chr3-129566526-129566631-129565886-129566017-129567491-129567604__0:0:0	20,28,10,27	9,5,2,1	2,0,0,2	2,2,0,0	1	1	1	1.0
ENSG00000004777.18;ARHGAP33;chr19-35780581-35780648-35780420-35780498-35780756-35780816__0:0:0___ENSG00000004777.18;ARHGAP33;chr19-35780581-35780648-35780420-35780498-35780756-35780816__40:0:0	43,57,19,30	2,4,0,3	13,16,0,2	0,0,0,3	1	1	1	1.0
ENSG00000004846.17;ABCB5;chr7-20647967-20648078-20647342-20647648-20650021-20650147__0:0:0___ENSG00000004846.17;ABCB5;chr7-20647967-20648078-20647342-20647648-20650021-20650147__28:0:0	8,10,1,2	3,0,0,0	1,5,0,1	1,1,0,0	1	1	1	1.0
ENSG00000004897.12;CDC27;chr17-47151805-47151918-47143882-47143982-47154671-47154786__0:-47:0___ENSG00000004897.12;CDC27;chr17-47151805-47151918-47143882-47143982-47154671-47154786__0:0:0	232,199,122,145	108,114,42,44	71,91,91,72	26,36,11,9	1	1	0.796709779605	1.0
ENSG00000005469.12;CROT;chr7-87382073-87382181-87381909-87381993-87382412-87382543__0:0:0___ENSG00000005469.12;CROT;chr7-87382073-87382181-87381909-87381993-87382412-87382543__0:-4:0	16,9,4,5	3,1,4,0	1,3,1,0	1,3,0,0	1	1	1	1.0
ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__17:0:0___ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__0:0:0	16,11,7,6	8,5,1,3	8,10,0,2	0,1,4,2	1	1	1	1.0
ENSG00000005810.19;MYCBP2;chr13-77056985-77057093-77055557-77055767-77058217-77058406__0:0:0___ENSG00000005810.19;MYCBP2;chr13-77056985-77057093-77055557-77055767-77058217-77058406__30:0:0	149,173,53,82	44,24,12,11	49,60,47,44	0,11,0,0	1	1	0.252421944235	1.0
ENSG00000005884.18;ITGA3;chr17-50075458-50075526-50074447-50074534-50075598-50075700__0:0:0___ENSG00000005884.18;ITGA3;chr17-50075458-50075526-50074447-50074534-50075598-50075700__-68:0:0	20,21,9,26	1,1,0,4	10,5,0,8	3,4,0,0	1	1	1	1.0
ENSG00000006282.21;SPATA20;chr17-50550207-50550312-50549984-50550115-50550535-50550610__0:0:0___ENSG00000006282.21;SPATA20;chr17-50550207-50550312-50549984-50550115-50550535-50550610__22:0:0	51,60,25,15	0,2,1,0	20,4,9,33	0,3,2,0	1	1	1	1.0
ENSG00000006530.18;AGK;chr7-141615470-141615565-141614145-141614178-141621731-141621790__0:0:0___ENSG00000006530.18;AGK;chr7-141615470-141615565-141614145-141614178-141621731-141621790__0:-85:0	53,62,9,21	18,9,3,3	2,26,19,8	12,4,3,13	1	1	0.347070499831	1.0
ENSG00000006652.15;IFRD1;chr7-112458916-112459018-112456913-112457038-112461865-112461916__0:0:0___ENSG00000006652.15;IFRD1;chr7-112458916-112459018-112456913-112457038-112461865-112461916__-56:0:0	12,16,3,5	1,0,0,0	2,0,1,4	0,2,0,0	1	1	1	1.0
ENSG00000007264.15;MATK;chr19-3783125-3783219-3781606-3781672-3783813-3784033__0:0:0___ENSG00000007264.15;MATK;chr19-3783125-3783219-3781606-3781672-3783813-3784033__0:-55:0	4,6,4,2	2,0,0,0	0,0,3,3	0,0,0,2	1	1	1	1.0
ENSG00000007312.13;CD79B;chr17-63931334-63931385-63929769-63929888-63932194-63932261__0:0:0___ENSG00000007312.13;CD79B;chr17-63931334-63931385-63929769-63929888-63932194-63932261__-3:0:0	27,37,11,23	18,17,11,21	15,10,14,2	12,6,10,0	1	1	1	1.0
ENSG00000011405.13;PIK3C2A;chr11-17118644-17118739-17114360-17114465-17119219-17119313__56:0:0___ENSG00000011405.13;PIK3C2A;chr11-17118644-17118739-17114360-17114465-17119219-17119313__0:0:0	98,100,43,55	73,95,40,58	20,37,28,25	16,17,23,9	1	1	0.852433543858	1.0
ENSG00000011523.14;CEP68;chr2-65077867-65077964-65074281-65074404-65082535-65082709__0:0:0___ENSG00000011523.14;CEP68;chr2-65077867-65077964-65074281-65074404-65082535-65082709__54:0:0	160,100,53,84	44,26,22,29	56,67,42,48	2,11,11,0	1	1	0.129981153222	0.85866337583
ENSG00000012171.20;SEMA3B;chr3-50271087-50271177-50270889-50271009-50271360-50271480__0:4:0___ENSG00000012171.20;SEMA3B;chr3-50271087-50271177-50270889-50271009-50271360-50271480__0:0:0	34,29,25,15	6,7,3,5	16,10,6,6	0,1,0,0	1	1	0.247392015142	1.0
ENSG00000012983.12;MAP4K5;chr14-50476127-50476170-50475076-50475149-50482360-50482416__22:0:0___ENSG00000012983.12;MAP4K5;chr14-50476127-50476170-50475076-50475149-50482360-50482416__0:0:0	39,13,16,30	4,3,55,0	10,4,3,0	7,4,4,2	1	1	0.0892874049815	0.714299239852
ENSG00000013306.16;SLC25A39;chr17-44322418-44322528-44320937-44321558-44323283-44323343__0:0:0___ENSG00000013306.16;SLC25A39;chr17-44322418-44322528-44320937-44321558-44323283-44323343__-24:0:0	175,184,80,65	16,9,18,4	36,41,13,22	10,28,10,9	1	1	0.00151184040362	0.0726986922007
ENSG00000013503.10;POLR3B;chr12-106369582-106369683-106369274-106369350-106376358-106376450__0:0:0___ENSG00000013503.10;POLR3B;chr12-106369582-106369683-106369274-106369350-106376358-106376450__40:0:0	41,28,15,45	6,14,3,11	16,8,13,9	1,2,0,0	1	1	0.00731091455983	0.207846204879
ENSG00000013725.14;CD6;chr11-61015732-61015835-61013918-61014014-61017478-61017550__-20:0:0___ENSG00000013725.14;CD6;chr11-61015732-61015835-61013918-61014014-61017478-61017550__0:0:0	65,60,51,51	9,15,9,8	35,56,13,24	3,5,0,1	1	1	0.891463799497	1.0
ENSG00000013810.21;TACC3;chr4-1735278-1735325-1731171-1731301-1735736-1735834__-6:0:0___ENSG00000013810.21;TACC3;chr4-1735278-1735325-1731171-1731301-1735736-1735834__0:0:0	14,10,0,4	8,8,8,3	4,12,1,2	3,3,3,0	1	1	0.330212436457	1.0
ENSG00000014824.14;SLC30A9;chr4-42060190-42060246-42049376-42049479-42062985-42063121__0:-34:0___ENSG00000014824.14;SLC30A9;chr4-42060190-42060246-42049376-42049479-42062985-42063121__0:0:0	27,23,11,20	16,12,8,10	8,9,0,0	1,5,0,0	1	1	1	1.0
ENSG00000025770.19;NCAPH2;chr22-50521740-50521848-50521542-50521609-50521985-50522039__4:0:0___ENSG00000025770.19;NCAPH2;chr22-50521740-50521848-50521542-50521609-50521985-50522039__0:0:0	13,8,5,5	8,9,3,13	0,4,6,8	0,4,2,0	1	1	1	1.0
