ExonID	I1	S1	I2	S2	I_len	S_len	PValue	FDR
ENSG00000003147.19;ICA1;chr7-8235909-8235940-8232589-8232755-8262093-8262273__-65:0:0___ENSG00000003147.19;ICA1;chr7-8235909-8235940-8232589-8232755-8262093-8262273__0:0:0	27,40,24,40	44,43,33,35	101,95,32,41	71,60,45,25	1	1	0.859090377509	1.0
ENSG00000003756.17;RBM5;chr3-50110678-50110770-50109602-50109688-50113382-50113489__0:0:0___ENSG00000003756.17;RBM5;chr3-50110678-50110770-50109602-50109688-50113382-50113489__0:-4:0	172,169,65,60	1,1,6,9	173,173,75,88	63,55,33,26	1	1	1.91692750562e-09	1.14057186584e-06
ENSG00000004468.13;CD38;chr4-15824880-15824998-15816595-15816640-15834216-15834302__0:18:0___ENSG00000004468.13;CD38;chr4-15824880-15824998-15816595-15816640-15834216-15834302__0:-5:0	5,4,0,0	0,0,0,2	9,5,6,6	1,0,1,0	1	1	1	1.0
ENSG00000004846.17;ABCB5;chr7-20647967-20648078-20647342-20647648-20650021-20650147__0:0:0___ENSG00000004846.17;ABCB5;chr7-20647967-20648078-20647342-20647648-20650021-20650147__98:0:0	8,10,1,2	1,0,1,1	17,7,4,5	0,0,1,0	1	1	1	1.0
ENSG00000004864.14;SLC25A13;chr7-96184926-96185011-96184276-96184435-96189293-96189378__0:-26:0___ENSG00000004864.14;SLC25A13;chr7-96184926-96185011-96184276-96184435-96189293-96189378__0:0:0	225,193,102,114	74,95,51,53	280,318,144,86	182,204,85,95	1	1	0.686558193102	1.0
ENSG00000005206.17;SPPL2B;chr19-2344361-2344424-2343964-2344039-2344552-2344652__0:0:0___ENSG00000005206.17;SPPL2B;chr19-2344361-2344424-2343964-2344039-2344552-2344652__0:37:0	4,9,6,2	1,0,0,0	6,1,6,12	2,5,2,0	1	1	0.365986481039	1.0
ENSG00000005302.19;MSL3;chrX-11768574-11768682-11765466-11765729-11772155-11772255__-2:0:0___ENSG00000005302.19;MSL3;chrX-11768574-11768682-11765466-11765729-11772155-11772255__0:0:0	21,9,27,25	1,4,5,4	59,45,7,13	7,11,5,9	1	1	1	1.0
ENSG00000005379.17;TSPOAP1;chr17-58306341-58306386-58305832-58305865-58306799-58306968__-27:0:0___ENSG00000005379.17;TSPOAP1;chr17-58306341-58306386-58305832-58305865-58306799-58306968__0:0:0	8,3,2,2	0,2,4,1	2,5,1,2	3,11,1,2	1	1	0.0706359307758	1.0
ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__17:0:0___ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__0:5:0	16,11,7,6	1,3,0,3	20,32,9,18	1,0,1,0	1	1	1	1.0
ENSG00000005844.19;ITGAL;chr16-30499372-30499489-30496435-30496566-30504174-30504264__-35:0:0___ENSG00000005844.19;ITGAL;chr16-30499372-30499489-30496435-30496566-30504174-30504264__0:0:0	3,9,6,3	2,3,0,0	5,18,3,6	1,0,0,0	1	1	1	1.0
