ExonID	I1	S1	I2	S2	I_len	S_len	PValue	FDR
ENSG00000000419.14;DPM1;chr20-50948628-50948662-50945736-50945923-50955185-50955285__0:0:0	2,3,0,1	4,5,0,1	0,0,0,0	5,5,0,7	1	1	1	1.0
ENSG00000001084.13;GCLC;chr6-53508594-53508711-53507479-53507618-53509175-53509250__0:0:0	70,53,49,69	33,26,27,19	53,29,24,14	8,8,1,6	1	1	0.245484679009	1.0
ENSG00000001460.18;STPG1;chr1-24410702-24410817-24401318-24401456-24413673-24416934__0:0:0	61,57,66,71	234,219,92,128	42,53,28,34	47,33,48,46	1	1	0.131842062528	0.817456589999
ENSG00000001497.18;LAS1L;chrX-65520701-65520817-65517986-65518465-65523559-65523707__0:0:0	1,0,0,0	0,1,4,0	0,0,0,0	1,0,0,0	1	1	1	1.0
ENSG00000001617.12;SEMA3F;chr3-50159691-50159734-50155090-50155147-50173792-50173953__0:0:0	33,34,28,29	7,13,4,4	17,13,6,8	4,7,5,8	1	1	0.343187893941	1.0
ENSG00000001617.12;SEMA3F;chr3-50174051-50174114-50173792-50173953-50174230-50174350__0:0:0	15,40,22,7	6,0,4,1	6,15,3,7	0,0,0,0	1	1	1	1.0
ENSG00000001617.12;SEMA3F;chr3-50175095-50175188-50174230-50174350-50176767-50176861__0:0:0	0,0,0,0	4,0,0,3	0,0,4,0	0,1,1,0	1	1	1	1.0
ENSG00000001617.12;SEMA3F;chr3-50186280-50186348-50185888-50186046-50186612-50186746__0:0:0	13,15,10,9	33,29,24,9	13,15,10,11	5,21,8,2	1	1	0.0470400883391	0.456069136731
ENSG00000001626.16;CFTR;chr7-117534275-117534365-117530898-117531114-117535247-117535411__0:-3:0	1,8,0,2	0,0,14,23	0,0,1,0	12,2,0,0	1	1	1	1.0
ENSG00000001626.16;CFTR;chr7-117602825-117602863-117591933-117592657-117603531-117603782__14:0:0	0,2,0,2	1,0,0,0	0,0,1,0	1,2,1,2	1	1	1	1.0
ENSG00000001629.10;ANKIB1;chr7-92387974-92388041-92387797-92387884-92389970-92390116__0:-4:0	0,0,3,0	2,0,0,0	0,12,0,0	0,0,0,0	1	1	1	1.0
ENSG00000002586.20_PAR_Y;CD99;chrY-2717604-2717652-2714421-2714454-2719660-2719705__0:0:0	0,1,1,1	0,0,4,1	0,0,0,1	0,0,0,0	1	1	1	1.0
ENSG00000002933.9;TMEM176A;chr7-150804361-150804472-150803619-150803832-150804826-150804936__0:13:0	15,15,6,12	3,4,7,9	3,9,0,5	3,0,2,8	1	1	0.889239826611	1.0
ENSG00000002933.9;TMEM176A;chr7-150804361-150804472-150803619-150803832-150804826-150804936__11:0:0	3,2,5,0	3,4,7,9	7,1,0,0	3,0,2,8	1	1	0.0942996470486	0.681359712417
ENSG00000003096.14;KLHL13;chrX-118028423-118028497-117945433-117945575-118116507-118116865__0:-53:0	1,0,0,0	1,11,2,5	0,0,0,0	6,0,1,1	1	1	1	1.0
ENSG00000003393.16;ALS2;chr2-201727704-201727775-201727211-201727278-201728511-201728640__0:-2:0	1,2,4,0	4,1,3,0	0,1,4,0	0,0,0,0	1	1	1	1.0
ENSG00000003509.16;NDUFAF7;chr2-37237756-37237835-37236095-37236176-37241577-37241637__0:-72:0	1,1,0,0	14,8,10,7	1,0,0,0	1,6,9,0	1	1	1	1.0
ENSG00000003509.16;NDUFAF7;chr2-37243910-37243973-37241577-37242693-37246051-37246195__-48:-46:0	0,7,0,3	0,0,25,33	3,2,0,0	0,0,2,0	1	1	1	1.0
ENSG00000003509.16;NDUFAF7;chr2-37243910-37243973-37241577-37242693-37246051-37246195__0:0:0	37,20,16,32	0,0,25,33	15,17,7,8	0,0,2,0	1	1	0.315277893535	1.0
ENSG00000003756.17;RBM5;chr3-50110678-50110770-50109602-50109688-50113382-50113489__0:-4:0	1,1,6,9	0,0,8,13	2,3,3,1	3,4,6,4	1	1	0.343705197685	1.0
ENSG00000004139.14;SARM1;chr17-28388173-28388276-28385039-28385275-28388349-28388394__0:0:0	0,3,1,1	10,5,12,2	2,0,0,0	0,1,1,0	1	1	1	1.0
ENSG00000004142.12;POLDIP2;chr17-28352911-28353019-28351663-28351800-28353694-28353791__0:-2:0	3,4,1,2	0,0,5,0	4,0,0,3	0,0,1,0	1	1	1	1.0
ENSG00000004399.13;PLXND1;chr3-129566526-129566631-129565886-129566017-129567491-129567604__-47:0:0	5,1,1,2	2,3,1,4	1,0,0,0	3,0,0,0	1	1	1	1.0
ENSG00000004455.17;AK2;chr1-33012073-33012122-33010754-33010833-33013206-33013287__0:0:0	9,10,1,4	0,0,2,1	6,7,3,2	0,0,0,0	1	1	1	1.0
ENSG00000004455.17;AK2;chr1-33021366-33021461-33014364-33014594-33021592-33021690__0:-4:0	0,0,0,0	0,0,0,1	0,4,0,0	0,3,0,0	1	1	1	1.0
ENSG00000004766.17;VPS50;chr7-93256508-93256562-93253859-93253931-93257393-93257450__0:-2:0	4,5,2,1	1,22,7,19	1,1,1,0	0,0,0,0	1	1	1	1.0
ENSG00000004766.17;VPS50;chr7-93258356-93258392-93258158-93258276-93259549-93259572__0:0:0	96,82,47,44	27,6,15,21	52,32,22,30	1,1,3,0	1	1	0.00346437930851	0.0819693684576
ENSG00000004766.17;VPS50;chr7-93272634-93272733-93271065-93271262-93276164-93276305__0:-91:0	1,0,0,0	0,0,3,0	0,1,0,0	0,0,0,0	1	1	1	1.0
ENSG00000004766.17;VPS50;chr7-93296741-93296836-93294544-93294636-93297144-93297243__0:-80:0	10,7,10,0	0,0,9,9	0,0,2,1	0,5,0,3	1	1	1	1.0
ENSG00000004799.8;PDK4;chr7-95589639-95589716-95587726-95587825-95591987-95592065__12:0:0	3,1,2,2	0,2,6,6	1,3,0,3	0,0,2,0	1	1	0.00213484166825	0.0581733467481
ENSG00000004846.17;ABCB5;chr7-20647967-20648078-20647342-20647648-20650021-20650147__0:0:0	8,10,1,2	1,1,2,3	0,2,3,0	3,1,0,1	1	1	0.18424628136	0.958321620988
ENSG00000004846.17;ABCB5;chr7-20704723-20704807-20700057-20700135-20723015-20723219__0:0:0	283,254,138,123	32,45,49,71	113,133,69,68	15,12,4,18	1	1	1	1.0
ENSG00000004939.16;SLC4A1;chr17-44261574-44261636-44260634-44260815-44262635-44262726__0:0:0	6,11,2,4	0,0,0,0	6,4,5,0	0,1,0,2	1	1	1	1.0
ENSG00000005001.10;PRSS22;chr16-2856821-2856848-2856081-2856253-2858022-2858154__0:0:0	32,41,9,18	3,12,3,4	14,16,16,9	2,2,1,0	1	1	0.479360872959	1.0
ENSG00000005007.13;UPF1;chr19-18855123-18855242-18854878-18855038-18855924-18856089__0:0:0	7,3,3,0	74,55,19,24	3,0,2,1	24,29,2,9	1	1	1	1.0
ENSG00000005007.13;UPF1;chr19-18864169-18864251-18862932-18863612-18865288-18865450__0:0:0	108,105,56,75	3,5,8,0	42,28,21,21	8,3,4,6	1	1	0.902860099987	1.0
ENSG00000005175.10;RPAP3;chr12-47679492-47679594-47670106-47670345-47679703-47679774__0:0:0	15,14,0,6	19,26,20,18	5,3,2,5	12,8,6,3	1	1	1	1.0
ENSG00000005189.20;REXO5;chr16-20814984-20815053-20813189-20813302-20821761-20821834__-58:0:0	11,1,2,1	11,15,11,7	6,1,0,3	1,4,12,3	1	1	1	1.0
ENSG00000005189.20;REXO5;chr16-20839754-20839859-20833002-20833123-20840330-20840468__0:0:0	27,30,15,13	3,5,7,1	9,11,12,8	0,0,0,1	1	1	0.633353631128	1.0
ENSG00000005206.17;SPPL2B;chr19-2343964-2344039-2342721-2343292-2344552-2344652__0:0:0	24,31,12,31	49,59,17,25	16,18,8,11	7,10,8,4	1	1	0.0485777982679	0.465541481197
ENSG00000005243.10;COPZ2;chr17-48028471-48028510-48026166-48026475-48029124-48029176__0:0:0	21,18,16,3	11,14,12,13	9,12,2,5	1,5,2,8	1	1	0.640938395152	1.0
