Gene	strand	SwitchScore	Tissue1	Tissue1Inc	Tissue2	Tissue2Inc	GeneDescription	chr	start	end	Event_hg18
CCDC76	+	0.49	cerebellum	1	testes	0.51	coiled-coil domain containing 76	chr1	100147893	100148326	chr1:100386038-100386470:+
DPH5	-	0.41	MCF7	1	lymphNode	0.59	diphthine synthase isoform b,diphthine synthase isof	chr1	101025308	101025466	chr1:101263453-101263610:-
KIF1B	+	0.77	cerebellum	1	skelMuscle	0.23	kinesin family member 1B isoform b,kinesin family m	chr1	10279096	10279138	chr1:10261742-10261783:+
KCNC4	+	0.53	cerebellum	0.47	testes	1.00	Shaw-related voltage-gated potassium channel,Sha	chr1	110232220	110232597	chr1:110576366-110576742:+
C1orf103	-	0.92	HME	0.08	testes	1.00	receptor-interacting factor 1 isoform 1,receptor-intera	chr1	110951287	110952815	chr1:111295433-111296960:-
UNQ154,TMEM77	-	0.6	cerebellum	0.4	breast	1.00	hypothetical protein LOC128338,Homo sapiens cDN	chr1	111139500	111139711	chr1:111483646-111483856:-
RHOC	-	0.25	breast	0.34	BT474	0.09	ras homolog gene family, member C precursor,ras h	chr1	112705052	112705168	chr1:113049198-113049313:-
RHOC	-	0.28	breast	0.35	lymphNode	0.07	ras homolog gene family, member C precursor,ras h	chr1	112705099	112705123	chr1:113049245-113049268:-
RHOC	-	0.34	breast	0.49	MB435	0.16	ras homolog gene family, member C precursor,ras h	chr1	112705099	112705168	chr1:113049245-113049313:-
BCAS2	-	0.75	colon	0.25	heart	1.00	breast carcinoma amplified sequence 2	chr1	114576687	114576758	chr1:114920832-114920902:-
CSDE1,KIAA0885	-	0.37	heart	0.1	testes	0.46	upstream of NRAS isoform 2,upstream of NRAS isof	chr1	114737470	114737563	chr1:115081615-115081707:-
CSDE1,KIAA0885	-	0.97	MCF7	0	skelMuscle	0.97	upstream of NRAS isoform 2,upstream of NRAS isof	chr1	114741526	114741673	chr1:115085671-115085817:-
FBXO44	+	0.36	cerebellum	0.52	brain	0.16	F-box protein 44 isoform 1,F-box protein 44 isoform	chr1	11658532	11658628	chr1:11641177-11641272:+
UBE2J2	-	0.34	cerebellum	0.67	breast	1.00	ubiquitin conjugating enzyme E2, J2 isoform 1,ubiqu	chr1	1267732	1267992	chr1:1192976-1193235:-
MFN2	+	0.75	cerebellum	0.25	colon	1.00	mitofusin 2	chr1	11981809	11982114	chr1:11964454-11964758:+
MFN2	+	0.53	cerebellum	0.47	colon	1.00	mitofusin 2	chr1	11981969	11982114	chr1:11964614-11964758:+
MFN2	+	0.55	cerebellum	0.45	colon	1.00	mitofusin 2	chr1	11981969	11982118	chr1:11964614-11964762:+
MFN2	+	0.6	cerebellum	0.4	colon	1.00	mitofusin 2	chr1	11981973	11982114	chr1:11964618-11964758:+
MFN2	+	0.34	heart	0.38	skelMuscle	0.71	mitofusin 2	chr1	11982522	11982590	chr1:11965167-11965234:+
RP5-890O3.8-016,D	-	0.27	HME	1	lymphNode	0.73	Novel protein (Fragment).,Homo sapiens cDNA FLJ	chr1	1312439	1312501	chr1:1237683-1237744:-
RP5-890O3.8-016,D	-	0.25	cerebellum	1	lymphNode	0.75	Novel protein (Fragment).,Homo sapiens cDNA FLJ	chr1	1320455	1321093	chr1:1245699-1246336:-
RP5-890O3.8-016,D	-	0.44	cerebellum	0.46	HME	0.02	Novel protein (Fragment).,Homo sapiens cDNA FLJ	chr1	1323180	1323287	chr1:1248424-1248530:-
MGC10334	+	0.28	cerebellum	1	BT474	0.72	hypothetical protein LOC80772	chr1	1326835	1327032	chr1:1252079-1252275:+
MXRA8,UNQ662	-	0.32	breast	1	skelMuscle	0.68	matrix-remodelling associated 8,matrix-remodelling	chr1	1355449	1355752	chr1:1280693-1280995:-
VWA1	+	0.4	cerebellum	1	skelMuscle	0.60	von Willebrand factor A domain-related protein,von	chr1	1436926	1437484	chr1:1362170-1362727:+
VWA1	+	0.27	cerebellum	1	skelMuscle	0.73	von Willebrand factor A domain-related protein,von	chr1	1437321	1437484	chr1:1362565-1362727:+
AK124197,PRDM2	+	0.39	breast	1	lymphNode	0.61	retinoblastoma protein-binding zinc finger,Homo sap	chr1	13773077	13773188	chr1:13972160-13972270:+
AK124197,PRDM2	+	0.44	cerebellum	1	colon	0.57	retinoblastoma protein-binding zinc finger,Homo sap	chr1	13778417	13782831	chr1:13977500-13981913:+
CR609046,PDE4DI	-	0.51	breast	1	lymphNode	0.49	phosphodiesterase 4D interacting protein isoform,ph	chr1	149024444	149024684	chr1:143571116-143571355:-
CR609046,PDE4DI	-	0.46	cerebellum	0.54	skelMuscle	1.00	phosphodiesterase 4D interacting protein isoform,ph	chr1	149012590	149012776	chr1:143583053-143583238:-
CR609046,PDE4DI	-	0.38	cerebellum	0.62	brain	1.00	phosphodiesterase 4D interacting protein isoform,ph	chr1	149010442	149010595	chr1:143585234-143585386:-
POLR3GL	-	0.26	breast	1	lymphNode	0.74	polymerase (RNA) III (DNA directed) polypeptide	chr1	145977083	145977152	chr1:144169292-144169360:-
APH1A,PSF	-	0.31	HME	0.69	MB435	1.00	anterior pharynx defective 1 homolog A isoform,ant	chr1	150267956	150267991	chr1:148506981-148507015:-
APH1A,PSF	-	0.28	cerebellum	1	HME	0.72	anterior pharynx defective 1 homolog A isoform,ant	chr1	150267956	150268127	chr1:148506981-148507151:-
AL138795.4,C1orf5	+	0.47	cerebellum	0.53	lymphNode	1.00	hypothetical protein LOC79630,hypothetical protein	chr1	150279639	150279741	chr1:148518675-148518776:+
PRPF3	+	0.38	cerebellum	0.62	BT474	1.00	PRP3 pre-mRNA processing factor 3 homolog	chr1	150328319	150328466	chr1:148567403-148567549:+
ARNT	-	0.44	MCF7	0.56	MB435	1.00	aryl hydrocarbon receptor nuclear translocator	chr1	150842423	150842468	chr1:149081524-149081568:-
FAM63A	-	0.31	MCF7	0.69	T47D	1.00	hypothetical protein LOC55793 isoform 1,hypothetic	chr1	151002164	151002311	chr1:149241265-149241411:-
FAM63A	-	0.43	HME	0.57	T47D	1.00	hypothetical protein LOC55793 isoform 1,hypothetic	chr1	151002164	151002323	chr1:149241265-149241423:-
FAM63A	-	0.51	cerebellum	1	HME	0.49	NA	chr1	151002164	151002968	chr1:149241265-149242068:-
FAM63A	-	0.71	cerebellum	1	testes	0.29	hypothetical protein LOC55793 isoform 1,hypothetic	chr1	151006311	151006797	chr1:149245412-149245897:-
PRUNE	+	0.44	adipose	0.25	skelMuscle	0.69	prune homolog,Prune homolog (Drosophila).,prune h	chr1	151028785	151028944	chr1:149267886-149268044:+
CDC42SE1	-	0.94	cerebellum	1	MB435	0.07	CDC42 small effector 1,CDC42 small effector 1,	chr1	151056650	151056786	chr1:149295751-149295886:-
MGC29891	+	0.25	MCF7	0.75	T47D	1.00	GA repeat binding protein, beta 2,GA repeat binding	chr1	151117391	151117516	chr1:149356492-149356616:+
PSMD4	+	0.3	BT474	0.68	adipose	0.98	proteasome 26S non-ATPase subunit 4 isoform 2,p	chr1	151262208	151262301	chr1:149501309-149501401:+
PIK4CB	-	0.41	skelMuscle	0.75	testes	0.35	phosphatidylinositol 4-kinase, catalytic, beta,phosph	chr1	151324744	151324917	chr1:149563845-149564017:-
POGZ	-	0.34	HME	1	testes	0.66	pogo transposable element with ZNF domain,pogo t	chr1	151440927	151441086	chr1:149680028-149680186:-
TUFT1	+	0.28	BT474	0.52	MB435	0.24	tuftelin 1,tuftelin 1,	chr1	151562090	151562165	chr1:149801191-149801265:+
S100A4	-	0.32	colon	0.4	heart	0.07	S100 calcium-binding protein A4	chr1	153545469	153545518	chr1:151784570-151784618:-
TORC2,CRTC2	-	0.43	cerebellum	0.57	breast	1.00	transducer of regulated cAMP response,Homo sapie	chr1	153951259	153951666	chr1:152190360-152190766:-
TPM3	-	0.64	cerebellum	0.36	breast	1.00	tropomyosin 3 isoform 2,tropomyosin 3 isoform 3,	chr1	154169304	154169383	chr1:152408405-152408483:-
TPM3	-	1	MCF7	1	skelMuscle	0.01	tropomyosin 3 isoform 2,tropomyosin 3 isoform 3,	chr1	154172028	154172104	chr1:152411129-152411204:-
