ExonID	I1	S1	I2	S2	I_len	S_len	PValue	FDR
ENSG00000002079.14;MYH16;chr7-99285381-99285438-99284844-99284935-99287891-99288137__0:0:0___ENSG00000002079.14;MYH16;chr7-99285381-99285438-99284844-99284935-99287891-99288137__-65:0:0	11,15,10	0,1,0	21,31,3	1,4,1	1	1	1	1.0
ENSG00000003147.19;ICA1;chr7-8235909-8235940-8232589-8232755-8262093-8262273__-65:0:0___ENSG00000003147.19;ICA1;chr7-8235909-8235940-8232589-8232755-8262093-8262273__0:0:0	21,43,16	53,45,29	86,70,47	34,46,14	1	1	0.00101137384423	0.0219130999583
ENSG00000004399.13;PLXND1;chr3-129561645-129561709-129560688-129560723-129561799-129561903__0:0:0___ENSG00000004399.13;PLXND1;chr3-129561645-129561709-129560688-129560723-129561799-129561903__338:318:0	2,1,0	0,2,0	0,4,1	0,1,0	1	1	1	1.0
ENSG00000004897.12;CDC27;chr17-47151805-47151918-47143882-47143982-47154671-47154786__0:-47:0___ENSG00000004897.12;CDC27;chr17-47151805-47151918-47143882-47143982-47154671-47154786__0:0:0	100,185,136	26,122,73	72,101,67	83,104,73	1	1	0.0364129757271	0.251477113615
ENSG00000005175.10;RPAP3;chr12-47667753-47667851-47666979-47667080-47668915-47669102__0:0:0___ENSG00000005175.10;RPAP3;chr12-47667753-47667851-47666979-47667080-47668915-47669102__27:0:0	45,76,65	4,3,0	73,59,60	19,17,9	1	1	0.0393680594808	0.265254303209
ENSG00000005189.20;REXO5;chr16-20814984-20815053-20813189-20813302-20821761-20821834__0:0:0___ENSG00000005189.20;REXO5;chr16-20814984-20815053-20813189-20813302-20821761-20821834__26:0:0	1,23,7	0,7,5	8,6,3	0,2,0	1	1	0.113799742276	0.500990897271
ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__17:0:0___ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__0:0:0	13,24,19	9,4,0	24,20,13	14,16,8	1	1	0.0884713693482	0.43664493442
ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__17:0:0___ENSG00000005471.19;ABCB4;chr7-87443662-87443773-87443318-87443444-87444861-87444975__25:0:0	13,24,19	5,11,12	24,20,13	19,11,20	1	1	0.597415826842	1.0
ENSG00000006194.10;ZNF263;chr16-3299105-3299156-3290402-3290553-3300912-3301401__0:0:0___ENSG00000006194.10;ZNF263;chr16-3299105-3299156-3290402-3290553-3300912-3301401__0:-25:0	75,171,102	1,5,2	109,122,84	9,16,19	1	1	1	1.0
ENSG00000006530.18;AGK;chr7-141555463-141555567-141551403-141551434-141593145-141593185__-11:0:0___ENSG00000006530.18;AGK;chr7-141555463-141555567-141551403-141551434-141593145-141593185__0:0:0	23,6,17	1,21,0	52,56,26	5,3,3	1	1	1	1.0
ENSG00000006652.15;IFRD1;chr7-112458916-112459018-112456913-112457038-112461865-112461916__0:0:0___ENSG00000006652.15;IFRD1;chr7-112458916-112459018-112456913-112457038-112461865-112461916__-56:0:0	0,0,5	0,6,0	2,1,1	0,0,1	1	1	1	1.0
ENSG00000006704.11;GTF2IRD1;chr7-74521207-74521297-74519408-74519719-74529733-74529917__0:0:0___ENSG00000006704.11;GTF2IRD1;chr7-74521207-74521297-74519408-74519719-74529733-74529917__5:0:0	21,44,11	18,8,3	40,25,19	6,3,3	1	1	0.451866767476	1.0
ENSG00000009830.13;POMT2;chr14-77306336-77306441-77304691-77304800-77320433-77320860__0:-65:0___ENSG00000009830.13;POMT2;chr14-77306336-77306441-77304691-77304800-77320433-77320860__0:0:0	0,7,14	5,10,5	0,1,0	10,7,4	1	1	0.0259646740511	0.196612327183
ENSG00000010310.9;GIPR;chr19-45672850-45672954-45669476-45669592-45674681-45674826__0:0:0___ENSG00000010310.9;GIPR;chr19-45672850-45672954-45669476-45669592-45674681-45674826__0:10:0	10,30,4	0,12,5	15,16,22	1,6,2	1	1	0.88473948631	1.0
ENSG00000011021.23;CLCN6;chr1-11816614-11816680-11807130-11807190-11819487-11819554__0:0:0___ENSG00000011021.23;CLCN6;chr1-11816614-11816680-11807130-11807190-11819487-11819554__4:0:0	7,54,27	13,4,0	65,64,66	2,8,1	1	1	1	1.0
ENSG00000011021.23;CLCN6;chr1-11826155-11826214-11824485-11824553-11827088-11827221__0:0:0___ENSG00000011021.23;CLCN6;chr1-11826155-11826214-11824485-11824553-11827088-11827221__0:10:0	69,54,49	23,22,10	105,159,94	17,17,17	1	1	0.715422560722	1.0
ENSG00000011332.21;DPF1;chr19-38212279-38212361-38211005-38212133-38213643-38213756__0:0:0___ENSG00000011332.21;DPF1;chr19-38212279-38212361-38211005-38212133-38213643-38213756__0:12:0	0,12,15	4,0,0	16,12,23	0,0,1	1	1	1	1.0
ENSG00000011332.21;DPF1;chr19-38217797-38217876-38216139-38216259-38218572-38218662__0:0:0___ENSG00000011332.21;DPF1;chr19-38217797-38217876-38216139-38216259-38218572-38218662__0:-14:0	16,0,6	0,4,1	5,10,9	0,1,0	1	1	1	1.0
ENSG00000012171.20;SEMA3B;chr3-50271087-50271177-50270889-50271009-50271360-50271480__0:4:0___ENSG00000012171.20;SEMA3B;chr3-50271087-50271177-50270889-50271009-50271360-50271480__0:0:0	8,28,13	0,11,0	12,15,3	4,12,1	1	1	0.211381786172	0.751051040901
